combo_label,Bitcoin_RV,VKOSPI,KR_Volume,KR_SVI,Global_SVI,joint_frequency,joint_prob,pairwise_lift_mean,theoretical_class
Low-Normal-Low-High-High,Low,Normal,Low,High,High,83,0.11401098901098901,1.1577067680672966,Ambiguity
Low-Normal-Low-Low-Mid,Low,Normal,Low,Low,Mid,67,0.09203296703296704,1.1307851146304873,Possible
High-Normal-High-High-High,High,Normal,High,High,High,59,0.08104395604395605,1.1166901769154431,Ambiguity
Mid-Normal-Low-High-High,Mid,Normal,Low,High,High,52,0.07142857142857142,1.0517486458983274,Ambiguity
Mid-Normal-High-Low-Mid,Mid,Normal,High,Low,Mid,46,0.06318681318681318,1.0604141547096815,Ambiguity
Mid-Normal-High-High-High,Mid,Normal,High,High,High,45,0.061813186813186816,1.0949830618543035,Possible
High-Normal-High-Low-Mid,High,Normal,High,Low,Mid,43,0.059065934065934064,1.1090154518835103,Ambiguity
Mid-Normal-High-Low-Low,Mid,Normal,High,Low,Low,37,0.050824175824175824,1.155574068227655,Ambiguity
Low-Normal-High-High-High,Low,Normal,High,High,High,28,0.038461538461538464,1.0480748587847863,Ambiguity
High-Normal-Low-Low-Mid,High,Normal,Low,Low,Mid,23,0.03159340659340659,1.0278199566692976,Ambiguity
Low-Normal-Low-Low-Low,Low,Normal,Low,Low,Low,23,0.03159340659340659,1.1685672376831224,Possible
Mid-Normal-Low-Low-Low,Mid,Normal,Low,Low,Low,22,0.03021978021978022,1.139716370134638,Possible
High-Extreme-High-High-High,High,Extreme,High,High,High,21,0.028846153846153848,1.2600658527086988,Possible
Mid-Normal-High-High-Mid,Mid,Normal,High,High,Mid,17,0.023351648351648352,0.9414907213568201,Possible
Low-Normal-Low-High-Mid,Low,Normal,Low,High,Mid,17,0.023351648351648352,1.0283179951235675,Ambiguity
Low-Normal-High-Low-Low,Low,Normal,High,Low,Low,15,0.020604395604395604,1.0315586105376533,Ambiguity
High-Normal-High-High-Mid,High,Normal,High,High,Mid,12,0.016483516483516484,0.9948334293192544,Ambiguity
Mid-Normal-Low-Low-Mid,Mid,Normal,Low,Low,Mid,11,0.01510989010989011,1.0423578413214898,Possible
High-Normal-High-Low-Low,High,Normal,High,Low,Low,10,0.013736263736263736,1.1133686056643335,Ambiguity
High-Normal-Low-Low-Low,High,Normal,Low,Low,Low,10,0.013736263736263736,1.0343717257452956,Ambiguity
Low-Normal-High-High-Mid,Low,Normal,High,High,Mid,8,0.01098901098901099,0.9142357165124562,Ambiguity
High-Normal-Low-High-High,High,Normal,Low,High,High,8,0.01098901098901099,1.0103165791334459,Ambiguity
High-Extreme-High-Low-Mid,High,Extreme,High,Low,Mid,8,0.01098901098901099,1.209010970259757,Ambiguity
Mid-Extreme-High-High-High,Mid,Extreme,High,High,High,7,0.009615384615384616,1.1469926067024812,Ambiguity
Mid-Extreme-Low-Low-Mid,Mid,Extreme,Low,Low,Mid,6,0.008241758241758242,1.0208222269028615,Ambiguity
High-Extreme-Low-Low-Low,High,Extreme,Low,Low,Low,5,0.006868131868131868,1.0636574394043616,Ambiguity
Mid-Extreme-Low-Low-High,Mid,Extreme,Low,Low,High,5,0.006868131868131868,0.9258314863057647,Ambiguity
Mid-Normal-Low-Low-High,Mid,Normal,Low,Low,High,5,0.006868131868131868,0.9048078526545709,Ambiguity
Mid-Extreme-Low-High-High,Mid,Extreme,Low,High,High,5,0.006868131868131868,1.0735931888967083,Ambiguity
High-Extreme-Low-Low-Mid,High,Extreme,Low,Low,Mid,4,0.005494505494505495,1.0976504731957477,Ambiguity
Mid-Normal-High-Low-High,Mid,Normal,High,Low,High,4,0.005494505494505495,0.9273145353713639,Ambiguity
Mid-Extreme-High-Low-Mid,Mid,Extreme,High,Low,Mid,3,0.004120879120879121,1.0690435421408497,Ambiguity
Low-Extreme-Low-High-Mid,Low,Extreme,Low,High,Mid,3,0.004120879120879121,0.9101490478173961,Ambiguity
Mid-Normal-Low-High-Mid,Mid,Normal,Low,High,Mid,3,0.004120879120879121,0.9027066747294452,Ambiguity
High-Normal-High-Low-High,High,Normal,High,Low,High,2,0.0027472527472527475,0.944280239643898,Ambiguity
High-Extreme-Low-High-High,High,Extreme,Low,High,High,2,0.0027472527472527475,1.1235272530769052,Ambiguity
High-Extreme-High-Low-High,High,Extreme,High,Low,High,2,0.0027472527472527475,1.0868350060899665,Ambiguity
Mid-Extreme-Low-Low-Low,Mid,Extreme,Low,Low,Low,2,0.0027472527472527475,1.0776359528486261,Ambiguity
Mid-Extreme-High-Low-High,Mid,Extreme,High,Low,High,2,0.0027472527472527475,0.9785031708723544,Ambiguity
Mid-Extreme-High-High-Mid,Mid,Extreme,High,High,Mid,1,0.0013736263736263737,0.9509410181351754,Ambiguity
Low-Extreme-High-High-High,Low,Extreme,High,High,High,1,0.0013736263736263737,1.0026301613982338,Ambiguity
Low-Extreme-Low-Low-Mid,Low,Extreme,Low,Low,Mid,1,0.0013736263736263737,1.011795257977129,Ambiguity
