Date,volume_btc,trade_value_krw,KOSPI_Volatility,USD_KRW
2024-01-12,25500.48719051,1574879036361.3125,16.77,1313.22
2024-01-16,11536.05824039,677856356201.2375,17.18,1338.13
2024-01-17,10605.98184639,620933012355.8545,19.31,1343.95
2024-01-18,12094.23957282,705879567803.0563,18.32,1338.43
2024-01-19,16856.2672982,952630706239.8932,17.64,1333.66
2024-01-22,13598.823141010002,762886573859.272,18.01,1339.05
2024-01-23,19178.58008636,1030902794512.3652,17.39,1337.74
2024-01-24,13025.11986505,716155450763.7667,17.07,1331.98
2024-01-25,9498.40846178,523517171859.5454,16.92,1336.27
2024-01-26,13066.76438447,744989472500.4635,16.96,1336.75
2024-01-29,9384.90392799,543364536145.3751,17.27,1332.96
2024-01-30,11582.50060934,686809208068.2048,17.11,1328.53
2024-01-31,10497.58392663,619063962758.2396,17.02,1333.59
2024-02-01,10116.89016116,592324377446.5215,16.79,1328.95
2024-02-02,11781.80742697,693529664477.914,17.79,1337.76
2024-02-05,8753.55641307,518097190089.6984,18.06,1333.13
2024-02-06,6331.985793510001,373318621100.7184,17.59,1326.87
2024-02-07,6715.43751712,397435499661.0072,17.62,1328.29
2024-02-08,8052.544837220001,493337266315.0686,17.24,1331.29
2024-02-09,12730.82209669,810241344512.1194,0.0,1330.07
2024-02-12,9394.38565068,620712442870.8921,0.0,1328.66
2024-02-13,11798.99418416,785362282912.7949,18.02,1340.73
2024-02-14,12470.29936637,866322006411.5642,17.98,1329.91
2024-02-15,12505.72319932,894229280626.187,17.79,1328.55
2024-02-16,8228.273801379999,591740980273.0874,17.41,1331.29
2024-02-20,8219.4267265,591587965766.4822,18.09,1333.79
2024-02-21,7047.79502064,503920657322.1789,18.5,1333.04
2024-02-22,5617.04571793,402550486481.45935,18.22,1327.25
2024-02-23,5274.10243455,376096657280.38257,18.31,1329.95
2024-02-26,8064.81313246,581797259408.7117,17.94,1331.9
2024-02-27,15691.27265812,1223939995144.1123,17.16,1332.05
2024-02-28,24304.000576190003,2031892634310.3015,16.83,1334.05
2024-02-29,21386.71093094,1872595045504.915,16.77,1334.78
2024-03-01,8904.03786972,776437572336.248,0.0,1330.52
2024-03-04,15774.86158046,1443334800162.6682,17.33,1330.89
2024-03-05,26574.45016074,2496421551559.1763,17.13,1335.4
2024-03-06,17813.164638759998,1642765990476.036,17.25,1329.03
2024-03-07,7584.19963243,713555839890.0354,17.25,1323.09
2024-03-08,10160.11111224,973204012652.0216,17.25,1316.0
2024-03-11,16845.64165247,1680045143064.8027,18.05,1310.74
2024-03-12,10072.47812301,1016677506354.0072,17.8,1311.68
2024-03-13,9731.46689284,1004078903340.7582,16.93,1313.79
2024-03-14,12562.65998737,1289203761434.9785,16.51,1323.43
2024-03-15,22343.67636504,2209555695190.2534,16.83,1330.63
2024-03-18,7807.02342058,773266441898.1123,17.12,1336.21
2024-03-19,17219.28912998,1628396353708.5986,16.78,1337.24
2024-03-20,17436.04850521,1645576751647.057,16.92,1329.18
2024-03-21,10101.81159989,982614582614.2607,17.53,1334.07
2024-03-22,8699.93725303,814408244043.7074,17.13,1343.43
2024-03-25,8993.069062909999,883116922029.9669,17.35,1338.84
2024-03-26,7215.230216,721272628625.759,17.34,1342.89
2024-03-27,8715.999056480001,871735540928.0312,17.14,1349.82
2024-03-28,6924.802158570001,697572429150.7463,16.88,1349.48
2024-03-29,5455.03128394,545435127965.72577,16.84,1345.09
2024-04-01,5859.01091483,583800541905.1819,17.13,1353.34
2024-04-02,10474.90721042,1011513276671.9048,17.1,1351.45
2024-04-03,5650.56368619,544443852733.5428,17.63,1344.74
2024-04-04,5518.80421616,539305311757.20605,17.2,1351.08
2024-04-05,4908.75409296,482742552933.1527,18.12,1350.91
2024-04-08,7060.25128565,717499523471.8418,18.16,1353.78
2024-04-09,5915.2593445,591713805587.6228,18.09,1351.03
2024-04-10,5529.481100880001,548322825589.41095,0.0,1363.43
2024-04-11,4134.56710985,415517579805.0512,18.03,1367.01
2024-04-12,5753.08117675,575816927775.0175,17.59,1379.69
2024-04-15,7476.63087305,728283610406.0898,18.45,1386.91
2024-04-16,8140.43698781,770096817968.7646,19.95,1389.5
2024-04-17,8759.01538675,810695926697.4426,20.02,1378.86
2024-04-18,7942.353780580001,734823612640.5503,19.42,1379.41
2024-04-19,11306.45998491,1049770783842.2544,21.22,1374.3
2024-04-22,4104.273971,394124874117.6168,19.8,1378.73
2024-04-23,4202.04864032,404579464771.0312,18.93,1373.05
2024-04-24,4474.33512393,423525837074.6777,18.02,1377.03
2024-04-25,5152.78430681,475652186562.7419,18.82,1371.41
2024-04-26,2807.41695879,258642703034.67804,18.32,1376.43
2024-04-29,5905.00125089,529303776329.6273,18.13,1374.67
