date,value
2022-05-01,25
2022-05-02,27
2022-05-03,26
2022-05-04,26
2022-05-05,32
2022-05-06,33
2022-05-07,27
2022-05-08,33
2022-05-09,57
2022-05-10,57
2022-05-11,67
2022-05-12,100
2022-05-13,74
2022-05-14,54
2022-05-15,46
2022-05-16,47
2022-05-17,43
2022-05-18,43
2022-05-19,41
2022-05-20,38
2022-05-21,34
2022-05-22,34
2022-05-23,35
2022-05-24,36
2022-05-25,33
2022-05-26,33
2022-05-27,34
2022-05-28,29
2022-05-29,27
2022-05-30,35
2022-05-31,33
2022-06-01,30
2022-06-02,30
2022-06-03,30
2022-06-04,25
2022-06-05,25
2022-06-06,29
2022-06-07,32
2022-06-08,29
2022-06-09,29
2022-06-10,27
2022-06-11,27
2022-06-12,36
2022-06-13,93
2022-06-14,89
2022-06-15,87
2022-06-16,74
2022-06-17,62
2022-06-18,90
2022-06-19,90
2022-06-20,69
2022-06-21,59
2022-06-22,55
2022-06-23,47
2022-06-24,44
2022-06-25,37
2022-06-26,35
2022-06-27,42
2022-06-28,40
2022-06-29,40
2022-06-30,49
2022-07-01,47
2022-07-02,41
2022-07-03,40
2022-07-04,41
2022-07-05,42
2022-07-06,39
2022-07-07,38
2022-07-08,38
2022-07-09,31
2022-07-10,31
2022-07-11,36
2022-07-12,36
2022-07-13,36
2022-07-14,34
2022-07-15,32
2022-07-16,29
2022-07-17,29
2022-07-18,37
2022-07-19,37
2022-07-20,40
2022-07-21,42
2022-07-22,35
2022-07-23,29
2022-07-24,27
2022-07-25,30
2022-07-26,33
2022-07-27,30
2022-07-28,31
2022-07-29,30
2022-07-30,28
2022-07-31,26
2022-08-01,92
2022-08-02,87
2022-08-03,89
2022-08-04,85
2022-08-05,82
2022-08-06,70
2022-08-07,69
2022-08-08,85
2022-08-09,84
2022-08-10,82
2022-08-11,88
2022-08-12,80
2022-08-13,73
2022-08-14,76
2022-08-15,82
2022-08-16,76
2022-08-17,79
2022-08-18,73
2022-08-19,100
2022-08-20,81
2022-08-21,75
2022-08-22,83
2022-08-23,79
2022-08-24,70
2022-08-25,75
2022-08-26,77
2022-08-27,81
2022-08-28,74
2022-08-29,89
2022-08-30,83
2022-08-31,76
2022-09-01,79
2022-09-02,71
2022-09-03,64
2022-09-04,65
2022-09-05,72
2022-09-06,79
2022-09-07,87
2022-09-08,75
2022-09-09,85
2022-09-10,72
2022-09-11,70
2022-09-12,77
2022-09-13,87
2022-09-14,82
2022-09-15,79
2022-09-16,81
2022-09-17,68
2022-09-18,65
2022-09-19,96
2022-09-20,84
2022-09-21,86
2022-09-22,81
2022-09-23,84
2022-09-24,71
2022-09-25,68
2022-09-26,78
2022-09-27,79
2022-09-28,80
2022-09-29,73
2022-09-30,72
2022-10-01,60
2022-10-02,61
2022-10-03,70
2022-10-04,69
2022-10-05,68
2022-10-06,66
2022-10-07,68
2022-10-08,57
2022-10-09,60
2022-10-10,65
2022-10-11,68
2022-10-12,63
2022-10-13,72
2022-10-14,69
2022-10-15,57
2022-10-16,53
2022-10-17,62
2022-10-18,63
2022-10-19,65
2022-10-20,63
2022-10-21,60
2022-10-22,52
2022-10-23,52
2022-10-24,62
2022-10-25,65
2022-10-26,72
2022-10-27,67
2022-10-28,64
2022-10-29,60
2022-10-30,58
2022-10-31,65
2022-11-01,33
2022-11-02,37
2022-11-03,36
2022-11-04,38
2022-11-05,33
2022-11-06,32
2022-11-07,35
2022-11-08,54
2022-11-09,95
2022-11-10,100
2022-11-11,87
2022-11-12,79
2022-11-13,72
2022-11-14,80
2022-11-15,65
2022-11-16,64
2022-11-17,59
2022-11-18,56
2022-11-19,46
2022-11-20,45
2022-11-21,57
2022-11-22,59
2022-11-23,48
2022-11-24,43
2022-11-25,43
2022-11-26,38
2022-11-27,37
2022-11-28,46
2022-11-29,45
2022-11-30,44
2022-12-01,44
2022-12-02,39
2022-12-03,37
2022-12-04,35
2022-12-05,39
2022-12-06,38
2022-12-07,39
2022-12-08,39
2022-12-09,36
2022-12-10,31
2022-12-11,35
2022-12-12,37
2022-12-13,43
2022-12-14,41
2022-12-15,42
2022-12-16,42
2022-12-17,37
2022-12-18,33
2022-12-19,39
2022-12-20,37
2022-12-21,38
2022-12-22,39
2022-12-23,36
2022-12-24,34
2022-12-25,34
2022-12-26,36
2022-12-27,37
2022-12-28,38
2022-12-29,36
2022-12-30,38
2022-12-31,32
2023-01-01,35
2023-01-02,37
2023-01-03,36
2023-01-04,38
2023-01-05,36
2023-01-06,37
2023-01-07,32
2023-01-08,31
2023-01-09,38
2023-01-10,36
2023-01-11,37
2023-01-12,46
2023-01-13,47
2023-01-14,58
2023-01-15,47
2023-01-16,52
2023-01-17,50
2023-01-18,46
2023-01-19,45
2023-01-20,46
2023-01-21,52
2023-01-22,47
2023-01-23,48
2023-01-24,46
2023-01-25,45
2023-01-26,45
2023-01-27,41
2023-01-28,38
2023-01-29,41
2023-01-30,44
2023-01-31,45
2023-02-01,66
2023-02-02,75
2023-02-03,65
2023-02-04,58
2023-02-05,58
2023-02-06,61
2023-02-07,55
2023-02-08,57
2023-02-09,59
2023-02-10,59
2023-02-11,54
2023-02-12,52
2023-02-13,57
2023-02-14,56
2023-02-15,62
2023-02-16,77
2023-02-17,66
2023-02-18,59
2023-02-19,58
2023-02-20,62
2023-02-21,64
2023-02-22,60
2023-02-23,59
2023-02-24,58
2023-02-25,53
2023-02-26,52
2023-02-27,60
2023-02-28,54
2023-03-01,52
2023-03-02,55
2023-03-03,63
2023-03-04,52
2023-03-05,50
2023-03-06,53
2023-03-07,50
2023-03-08,56
2023-03-09,61
2023-03-10,77
2023-03-11,67
2023-03-12,62
2023-03-13,92
2023-03-14,100
2023-03-15,83
2023-03-16,73
2023-03-17,84
2023-03-18,81
2023-03-19,85
2023-03-20,99
2023-03-21,91
2023-03-22,87
2023-03-23,85
2023-03-24,81
2023-03-25,69
2023-03-26,67
2023-03-27,75
2023-03-28,72
2023-03-29,74
2023-03-30,73
2023-03-31,67
2023-04-01,63
2023-04-02,64
2023-04-03,68
2023-04-04,66
2023-04-05,66
2023-04-06,65
2023-04-07,63
2023-04-08,56
2023-04-09,55
2023-04-10,69
2023-04-11,96
2023-04-12,80
2023-04-13,74
2023-04-14,78
2023-04-15,68
2023-04-16,62
2023-04-17,71
2023-04-18,71
2023-04-19,69
2023-04-20,69
2023-04-21,69
2023-04-22,62
2023-04-23,58
2023-04-24,68
2023-04-25,64
2023-04-26,74
2023-04-27,66
2023-04-28,60
2023-04-29,59
2023-04-30,56
2023-05-01,86
2023-05-02,78
2023-05-03,80
2023-05-04,77
2023-05-05,75
2023-05-06,68
2023-05-07,72
2023-05-08,87
2023-05-09,80
2023-05-10,82
2023-05-11,81
2023-05-12,81
2023-05-13,68
2023-05-14,62
2023-05-15,70
