date,value
2022-05-01,27
2022-05-02,25
2022-05-03,23
2022-05-04,23
2022-05-05,37
2022-05-06,32
2022-05-07,26
2022-05-08,37
2022-05-09,51
2022-05-10,47
2022-05-11,69
2022-05-12,100
2022-05-13,93
2022-05-14,60
2022-05-15,48
2022-05-16,46
2022-05-17,42
2022-05-18,40
2022-05-19,38
2022-05-20,33
2022-05-21,32
2022-05-22,26
2022-05-23,31
2022-05-24,32
2022-05-25,30
2022-05-26,33
2022-05-27,32
2022-05-28,27
2022-05-29,28
2022-05-30,29
2022-05-31,29
2022-06-01,29
2022-06-02,26
2022-06-03,24
2022-06-04,24
2022-06-05,21
2022-06-06,23
2022-06-07,25
2022-06-08,23
2022-06-09,23
2022-06-10,24
2022-06-11,29
2022-06-12,38
2022-06-13,76
2022-06-14,66
2022-06-15,60
2022-06-16,45
2022-06-17,48
2022-06-18,67
2022-06-19,80
2022-06-20,53
2022-06-21,41
2022-06-22,37
2022-06-23,35
2022-06-24,33
2022-06-25,29
2022-06-26,30
2022-06-27,32
2022-06-28,30
2022-06-29,32
2022-06-30,40
2022-07-01,32
2022-07-02,29
2022-07-03,32
2022-07-04,35
2022-07-05,29
2022-07-06,29
2022-07-07,28
2022-07-08,28
2022-07-09,22
2022-07-10,26
2022-07-11,28
2022-07-12,28
2022-07-13,29
2022-07-14,25
2022-07-15,25
2022-07-16,22
2022-07-17,26
2022-07-18,30
2022-07-19,29
2022-07-20,32
2022-07-21,31
2022-07-22,24
2022-07-23,24
2022-07-24,22
2022-07-25,27
2022-07-26,24
2022-07-27,23
2022-07-28,25
2022-07-29,26
2022-07-30,24
2022-07-31,23
2022-08-01,68
2022-08-02,71
2022-08-03,67
2022-08-04,66
2022-08-05,62
2022-08-06,56
2022-08-07,57
2022-08-08,65
2022-08-09,66
2022-08-10,61
2022-08-11,65
2022-08-12,61
2022-08-13,56
2022-08-14,56
2022-08-15,69
2022-08-16,60
2022-08-17,60
2022-08-18,53
2022-08-19,100
2022-08-20,78
2022-08-21,66
2022-08-22,73
2022-08-23,67
2022-08-24,64
2022-08-25,59
2022-08-26,66
2022-08-27,64
2022-08-28,62
2022-08-29,75
2022-08-30,66
2022-08-31,58
2022-09-01,55
2022-09-02,52
2022-09-03,45
2022-09-04,53
2022-09-05,46
2022-09-06,65
2022-09-07,70
2022-09-08,60
2022-09-09,74
2022-09-10,64
2022-09-11,59
2022-09-12,74
2022-09-13,80
2022-09-14,71
2022-09-15,69
2022-09-16,62
2022-09-17,50
2022-09-18,72
2022-09-19,83
2022-09-20,61
2022-09-21,72
2022-09-22,66
2022-09-23,70
2022-09-24,50
2022-09-25,64
2022-09-26,67
2022-09-27,68
2022-09-28,71
2022-09-29,60
2022-09-30,59
2022-10-01,49
2022-10-02,52
2022-10-03,58
2022-10-04,64
2022-10-05,53
2022-10-06,48
2022-10-07,58
2022-10-08,44
2022-10-09,47
2022-10-10,57
2022-10-11,58
2022-10-12,50
2022-10-13,73
2022-10-14,57
2022-10-15,50
2022-10-16,46
2022-10-17,56
2022-10-18,55
2022-10-19,53
2022-10-20,37
2022-10-21,48
2022-10-22,47
2022-10-23,49
2022-10-24,49
2022-10-25,53
2022-10-26,58
2022-10-27,57
2022-10-28,45
2022-10-29,56
2022-10-30,49
2022-10-31,47
2022-11-01,33
2022-11-02,35
2022-11-03,34
2022-11-04,34
2022-11-05,31
2022-11-06,31
2022-11-07,36
2022-11-08,63
2022-11-09,88
2022-11-10,100
2022-11-11,69
2022-11-12,77
2022-11-13,71
2022-11-14,93
2022-11-15,55
2022-11-16,50
2022-11-17,48
2022-11-18,42
2022-11-19,38
2022-11-20,44
2022-11-21,47
2022-11-22,43
2022-11-23,35
2022-11-24,38
2022-11-25,41
2022-11-26,36
2022-11-27,36
2022-11-28,38
2022-11-29,36
2022-11-30,36
2022-12-01,35
2022-12-02,31
2022-12-03,26
2022-12-04,33
2022-12-05,32
2022-12-06,32
2022-12-07,40
2022-12-08,39
2022-12-09,34
2022-12-10,28
2022-12-11,25
2022-12-12,35
2022-12-13,35
2022-12-14,29
2022-12-15,31
2022-12-16,38
2022-12-17,39
2022-12-18,32
2022-12-19,36
2022-12-20,35
2022-12-21,32
2022-12-22,36
2022-12-23,34
2022-12-24,24
2022-12-25,30
2022-12-26,29
2022-12-27,32
2022-12-28,40
2022-12-29,36
2022-12-30,33
2022-12-31,33
2023-01-01,31
2023-01-02,37
2023-01-03,30
2023-01-04,33
2023-01-05,32
2023-01-06,32
2023-01-07,27
2023-01-08,25
2023-01-09,34
2023-01-10,31
2023-01-11,29
2023-01-12,38
2023-01-13,39
2023-01-14,69
2023-01-15,51
2023-01-16,43
2023-01-17,39
2023-01-18,42
2023-01-19,34
2023-01-20,41
2023-01-21,44
2023-01-22,45
2023-01-23,40
2023-01-24,42
2023-01-25,40
2023-01-26,44
2023-01-27,40
2023-01-28,32
2023-01-29,42
2023-01-30,43
2023-01-31,39
2023-02-01,72
2023-02-02,77
2023-02-03,68
2023-02-04,64
2023-02-05,76
2023-02-06,74
2023-02-07,70
2023-02-08,60
2023-02-09,72
2023-02-10,68
2023-02-11,61
2023-02-12,65
2023-02-13,60
2023-02-14,64
2023-02-15,74
2023-02-16,100
2023-02-17,69
2023-02-18,70
2023-02-19,75
2023-02-20,68
2023-02-21,76
2023-02-22,72
2023-02-23,68
2023-02-24,69
2023-02-25,62
2023-02-26,54
2023-02-27,60
2023-02-28,61
2023-03-01,58
2023-03-02,59
2023-03-03,87
2023-03-04,68
2023-03-05,50
2023-03-06,55
2023-03-07,59
2023-03-08,51
2023-03-09,60
2023-03-10,78
2023-03-11,68
2023-03-12,73
2023-03-13,90
2023-03-14,100
2023-03-15,78
2023-03-16,73
2023-03-17,87
2023-03-18,94
2023-03-19,91
2023-03-20,88
2023-03-21,85
2023-03-22,81
2023-03-23,80
2023-03-24,75
2023-03-25,63
2023-03-26,66
2023-03-27,75
2023-03-28,70
2023-03-29,78
2023-03-30,69
2023-03-31,64
2023-04-01,59
2023-04-02,64
2023-04-03,69
2023-04-04,66
2023-04-05,62
2023-04-06,61
2023-04-07,57
2023-04-08,48
2023-04-09,55
2023-04-10,61
2023-04-11,88
2023-04-12,74
2023-04-13,63
2023-04-14,72
2023-04-15,54
2023-04-16,59
2023-04-17,56
2023-04-18,58
2023-04-19,75
2023-04-20,66
2023-04-21,68
2023-04-22,52
2023-04-23,57
2023-04-24,61
2023-04-25,63
2023-04-26,77
2023-04-27,62
2023-04-28,59
2023-04-29,61
2023-04-30,51
2023-05-01,75
2023-05-02,73
2023-05-03,74
2023-05-04,78
2023-05-05,78
2023-05-06,88
2023-05-07,72
2023-05-08,90
2023-05-09,93
2023-05-10,93
2023-05-11,83
2023-05-12,83
2023-05-13,72
2023-05-14,65
2023-05-15,60
2023-05-16,65
2023-05-17,60
2023-05-18,57
2023-05-19,57
2023-05-20,43
2023-05-21,53
2023-05-22,52
2023-05-23,50
2023-05-24,55
2023-05-25,50
2023-05-26,52
2023-05-27,43
2023-05-28,52
2023-05-29,49
2023-05-30,61
2023-05-31,56
2023-06-01,45
2023-06-02,49
2023-06-03,40
2023-06-04,39
2023-06-05,63
2023-06-06,74
2023-06-07,59
2023-06-08,49
2023-06-09,42
2023-06-10,100
2023-06-11,63
2023-06-12,51
2023-06-13,55
2023-06-14,58
2023-06-15,65
2023-06-16,57
2023-06-17,51
2023-06-18,43
2023-06-19,46
2023-06-20,62
2023-06-21,79
2023-06-22,84
2023-06-23,76
2023-06-24,84
2023-06-25,65
2023-06-26,67
2023-06-27,59
2023-06-28,58
2023-06-29,59
2023-06-30,80
2023-07-01,56
2023-07-02,57
2023-07-03,61
2023-07-04,55
2023-07-05,54
2023-07-06,60
2023-07-07,52
2023-07-08,47
2023-07-09,41
2023-07-10,48
2023-07-11,52
2023-07-12,51
2023-07-13,73
2023-07-14,75
2023-07-15,56
2023-07-16,58
2023-07-17,51
2023-07-18,55
2023-07-19,55
2023-07-20,54
2023-07-21,43
2023-07-22,40
2023-07-23,51
2023-07-24,59
2023-07-25,52
2023-07-26,56
2023-07-27,49
2023-07-28,42
2023-07-29,39
2023-07-30,53
2023-07-31,45
2023-08-01,37
2023-08-02,34
2023-08-03,30
2023-08-04,29
2023-08-05,34
2023-08-06,32
2023-08-07,38
2023-08-08,35
2023-08-09,32
2023-08-10,29
2023-08-11,35
2023-08-12,32
2023-08-13,29
2023-08-14,31
2023-08-15,38
2023-08-16,39
2023-08-17,47
2023-08-18,59
2023-08-19,41
2023-08-20,34
2023-08-21,33
2023-08-22,42
2023-08-23,33
2023-08-24,32
2023-08-25,33
2023-08-26,29
2023-08-27,30
2023-08-28,32
2023-08-29,44
2023-08-30,37
2023-08-31,39
2023-09-01,35
2023-09-02,34
2023-09-03,29
2023-09-04,32
2023-09-05,28
2023-09-06,28
2023-09-07,28
2023-09-08,32
2023-09-09,21
2023-09-10,29
2023-09-11,33
2023-09-12,33
2023-09-13,30
2023-09-14,31
2023-09-15,30
2023-09-16,27
2023-09-17,28
2023-09-18,36
2023-09-19,33
2023-09-20,31
2023-09-21,29
2023-09-22,27
2023-09-23,29
2023-09-24,24
2023-09-25,33
2023-09-26,29
2023-09-27,28
2023-09-28,26
2023-09-29,30
2023-09-30,27
2023-10-01,29
2023-10-02,40
2023-10-03,31
2023-10-04,33
2023-10-05,26
2023-10-06,33
2023-10-07,21
2023-10-08,27
2023-10-09,39
2023-10-10,27
2023-10-11,32
2023-10-12,26
2023-10-13,26
2023-10-14,27
2023-10-15,28
2023-10-16,51
2023-10-17,38
2023-10-18,38
2023-10-19,32
2023-10-20,47
