Date,Unique Addresses,Number of Transactions,Hash Rate (TH/s),Total Bitcoins in Circulation,Output Volume (BTC),Search Interest
2024-01-12,596693,375872,611297254.3,19596912.5,1449244.713,58
2024-01-16,569684,470122,454834266.6,19600237.5,921548.5756,37
2024-01-17,647470,449415,440279570.1,19600237.5,1212120.662,33
2024-01-18,678147,484017,516691726.8,19601343.75,1135734.677,35
2024-01-19,627719,460763,480304985.5,19602450.0,943842.375,35
2024-01-22,620801,457620,559487254.6,19604681.25,1101199.699,35
2024-01-23,600773,368462,538506482.5,19605793.75,975329.3845,39
2024-01-24,564400,372499,524519301.2,19606900.0,1109813.944,32
2024-01-25,573766,340188,632919956.8,19608006.25,1011347.014,31
2024-01-26,683719,493218,531512891.9,19609118.75,1068360.657,31
2024-01-29,697324,575203,545500073.2,19612456.25,914777.7266,27
2024-01-30,687547,523509,503538529.1,19613568.75,1131865.135,29
2024-01-31,622142,444450,458080189.7,19613568.75,1364459.545,27
2024-02-01,680097,413272,535009687.2,19614681.25,979837.4399,26
2024-02-02,691810,429732,676117474.0,19615787.5,855293.3446,26
2024-02-05,525379,281482,585504349.7,19619112.5,848422.4388,25
2024-02-06,521338,278093,638049611.8,19620225.0,931934.0952,25
2024-02-07,640781,427538,600517281.7,19621337.5,845276.0411,24
2024-02-08,547079,285101,517946155.5,19621337.5,960367.8712,30
2024-02-09,615935,334084,623036679.8,19622462.5,1044842.798,37
2024-02-12,649038,409911,671828708.9,19625806.25,972033.8426,43
2024-02-13,589286,313178,506686456.5,19626912.5,1073805.943,43
2024-02-14,586548,296717,521699388.5,19628025.0,1231205.904,47
2024-02-15,612859,303306,605343974.0,19628025.0,977279.799,46
2024-02-16,613011,312782,544386616.4,19629137.5,935832.0519,39
2024-02-20,638563,397096,572824723.2,19632481.25,999200.0463,34
2024-02-21,630339,369949,560636963.2,19633593.75,1026772.206,32
2024-02-22,642155,365090,548449203.1,19634706.25,915552.6326,31
2024-02-23,679759,409204,645951283.7,19635818.75,800371.3237,30
2024-02-26,620435,356184,540324029.7,19638093.75,971510.2018,37
2024-02-27,674490,387598,524073683.0,19639212.5,1246634.432,59
2024-02-28,763915,413800,605325416.8,19640325.0,1541489.95,92
2024-02-29,772702,407090,540324029.7,19640325.0,1357774.043,85
2024-03-01,771270,419284,608054004.4,19641431.25,1184688.522,63
2024-03-04,664743,361258,508849652.0,19644750.0,1219310.001,85
2024-03-05,772888,424347,658743348.0,19644750.0,1677292.222,100
2024-03-06,681667,381934,552239932.4,19645856.25,1421341.485,76
2024-03-07,714978,436344,710022770.3,19646962.5,1244924.777,61
2024-03-08,716770,426928,607463925.7,19648068.75,1202203.516,61
2024-03-11,684136,394098,670577060.8,19651406.25,1357921.618,81
2024-03-12,677201,341867,556184503.4,19652518.75,1382859.473,72
2024-03-13,710767,390118,631131351.3,19653625.0,1627008.321,69
2024-03-14,663447,329706,579720256.0,19653625.0,1276449.595,61
2024-03-15,749328,307904,529980321.7,19654731.25,1154363.775,68
2024-03-18,673489,416270,600922569.5,19656943.75,961901.276,51
2024-03-19,755218,463952,655172523.7,19658062.5,1101740.794,64
2024-03-20,639266,361515,621787936.5,19659168.75,1108934.468,60
2024-03-21,611408,327642,500768807.9,19660275.0,871242.7506,52
2024-03-22,679058,339533,563364908.9,19661387.5,880810.1617,57
2024-03-25,623335,317064,550845688.7,19663618.75,1250324.716,65
2024-03-26,648004,317742,559191835.5,19664731.25,1161761.715,62
2024-03-27,637151,355902,567537982.3,19665837.5,986508.1233,60
2024-03-28,696012,428670,630675249.3,19666943.75,973794.8752,58
2024-03-29,659374,449421,595046225.0,19666943.75,923032.088,54
2024-04-01,648777,326410,619839817.7,19670500.0,1263750.226,53
2024-04-02,685496,357709,611575286.8,19671612.5,1089895.579,65
2024-04-03,714141,372978,586781694.1,19671612.5,909993.1172,55
2024-04-04,655509,320607,570252632.3,19672725.0,864699.4181,53
2024-04-05,643705,348637,611575286.8,19673837.5,962527.0774,50
2024-04-08,685180,455617,652897941.3,19677156.25,982666.1872,58
2024-04-09,683771,453811,603310755.9,19677156.25,837041.0117,51
2024-04-10,703704,531054,626404079.7,19678262.5,773781.9075,51
2024-04-11,631803,476241,566860609.5,19679375.0,814237.4968,52
2024-04-12,683741,448489,584038203.8,19680481.25,798696.5183,57
2024-04-15,666015,503358,605510196.5,19682706.25,938408.6541,66
2024-04-16,743368,454669,708575761.9,19683825.0,1028539.245,63
2024-04-17,661886,385606,588332602.3,19684937.5,997095.9201,64
2024-04-18,670913,418095,622687790.8,19686050.0,989107.8512,70
2024-04-19,727141,393190,648454182.1,19687168.75,811798.4458,100
2024-04-22,534717,671771,652748580.7,19688450.0,694754.6515,55
2024-04-23,441797,927010,721458957.6,19689009.38,734569.3477,47
