Date,Hash Rate (TH/s)
2022-03-01,225221260.29196426
2022-03-02,189074638.26979718
2022-03-03,204908164.05639085
2022-03-04,190365286.64550212
2022-03-05,168452735.66472492
2022-03-06,179409011.15511352
2022-03-07,202691096.5721893
2022-03-08,202691096.5721893
2022-03-09,188995752.20920354
2022-03-10,198582493.2632936
2022-03-11,188995752.20920354
2022-03-12,213647372.0625779
2022-03-13,206799699.88108504
2022-03-14,209538768.75368217
2022-03-15,190365286.64550212
2022-03-16,212277837.6262793
2022-03-17,217523034.50856918
2022-03-18,195149454.73662692
2022-03-19,211525632.75648364
2022-03-20,210160951.25482893
2022-03-21,208796269.7531742
2022-03-22,203337543.74655527
2022-03-23,197878817.73993632
2022-03-24,195149454.73662692
2022-03-25,212890314.25813842
2022-03-26,219713721.76641208
2022-03-27,178773276.7167701
2022-03-28,216984358.7631026
2022-03-29,206066906.74986473
2022-03-30,184232002.723389
2022-03-31,194247387.85170582
2022-04-01,200371606.28467658
2022-04-02,191845154.95341378
2022-04-03,197529455.84092233
2022-04-04,224529885.05658796
2022-04-05,206055907.17218518
2022-04-06,213161283.28157085
2022-04-07,196108380.6190452
2022-04-08,190424079.73153663
2022-04-09,217424508.94720227
2022-04-10,198950531.06279945
2022-04-11,194687305.39716807
2022-04-12,217424508.94720227
2022-04-13,198950531.06279945
2022-04-14,194492275.55499536
2022-04-15,221692722.83303383
2022-04-16,188017878.85839576
2022-04-17,231514552.3256366
2022-04-18,188017878.85839576
2022-04-19,173986693.86896327
2022-04-20,224498959.83092037
2022-04-21,237127026.3214096
2022-04-22,189420997.35733905
2022-04-23,228708315.3277501
2022-04-24,239933263.31929615
2022-04-25,227305196.82880685
2022-04-26,196436589.85205528
2022-04-27,243130347.43116814
2022-04-28,195503620.58301136
2022-04-29,222163205.20796743
2022-04-30,222163205.20796743
2022-05-01,247341701.7982037
2022-05-02,236974085.55516526
2022-05-03,222163205.20796743
2022-05-04,216238853.06908828
2022-05-05,232530821.4510059
2022-05-06,210314500.93020916
2022-05-07,211795588.96492898
2022-05-08,229568645.3815663
2022-05-09,229568645.3815663
2022-05-10,226823707.2333046
2022-05-11,225257597.8912952
2022-05-12,209722591.14017138
2022-05-13,236132102.61708185
2022-05-14,219043595.19084564
2022-05-15,189527082.3637104
2022-05-16,254774110.71843037
2022-05-17,228364599.24151993
2022-05-18,208169090.46505895
2022-05-19,189527082.3637104
2022-05-20,198848086.4143847
2022-05-21,209722591.14017138
2022-05-22,189527082.3637104
2022-05-23,248560108.0179809
2022-05-24,186420081.01348567
2022-05-25,219801139.27751222
2022-05-26,209555369.85718095
2022-05-27,205096744.96660265
2022-05-28,219958827.93519703
2022-05-29,221445036.23205647
2022-05-30,228876077.71635368
2022-05-31,216986411.34147817
2022-06-01,202124328.37288374
2022-06-02,185776037.10742992
2022-06-03,212527786.45089987
2022-06-04,206582953.2634621
2022-06-05,216986411.34147817
2022-06-06,222931244.5289159
2022-06-07,240765744.0912292
2022-06-08,266405768.7361438
2022-06-09,219787040.37955952
2022-06-10,221292431.06709072
2022-06-11,231830165.87980935
2022-06-12,191184617.31646615
2022-06-13,200216961.44165352
2022-06-14,219787040.37955952
2022-06-15,248389463.44265285
2022-06-16,179141491.81621632
2022-06-17,162582194.2533728
2022-06-18,234840947.25487182
2022-06-19,200216961.44165352
2022-06-20,198711570.75412232
2022-06-21,225808603.12968442
2022-06-22,193273708.26929793
2022-06-23,223431040.49785998
2022-06-24,189622396.21199957
2022-06-25,221961099.44195303
2022-06-26,202851865.7151624
2022-06-27,199911983.60334843
2022-06-28,214611394.16241816
2022-06-29,221961099.44195303
2022-06-30,251359920.5600925
2022-07-01,196972101.49153444
2022-07-02,202851865.7151624
2022-07-03,227840863.6655809
2022-07-04,210201570.99469727
2022-07-05,173453044.59702292
2022-07-06,186682514.1001857
2022-07-07,227544125.37384427
2022-07-08,214480636.40419686
2022-07-09,194191927.5551512
2022-07-10,221726603.8502846
2022-07-11,178250799.1737582
2022-07-12,218828216.87184954
2022-07-13,159411283.8139301
2022-07-14,179699992.6629758
2022-07-15,205785475.4688916
