Date,Unique Addresses
2022-03-01,722863.0
2022-03-02,731603.0
2022-03-03,701198.0
2022-03-04,675228.0
2022-03-05,594977.0
2022-03-06,555454.0
2022-03-07,648259.0
2022-03-08,659214.0
2022-03-09,702360.0
2022-03-10,687025.0
2022-03-11,659116.0
2022-03-12,592255.0
2022-03-13,554544.0
2022-03-14,658358.0
2022-03-15,679170.0
2022-03-16,721364.0
2022-03-17,743399.0
2022-03-18,700248.0
2022-03-19,638704.0
2022-03-20,572086.0
2022-03-21,663684.0
2022-03-22,681184.0
2022-03-23,671738.0
2022-03-24,677148.0
2022-03-25,752938.0
2022-03-26,611979.0
2022-03-27,589872.0
2022-03-28,720718.0
2022-03-29,706611.0
2022-03-30,662686.0
2022-03-31,711182.0
2022-04-01,738464.0
2022-04-02,660755.0
2022-04-03,585946.0
2022-04-04,691360.0
2022-04-05,692888.0
2022-04-06,666088.0
2022-04-07,677721.0
2022-04-08,685851.0
2022-04-09,597681.0
2022-04-10,551596.0
2022-04-11,684991.0
2022-04-12,683425.0
2022-04-13,682050.0
2022-04-14,673582.0
2022-04-15,666824.0
2022-04-16,600335.0
2022-04-17,557466.0
2022-04-18,631282.0
2022-04-19,697163.0
2022-04-20,703937.0
2022-04-21,710624.0
2022-04-22,671463.0
2022-04-23,613940.0
2022-04-24,581643.0
2022-04-25,680074.0
2022-04-26,689345.0
2022-04-27,697020.0
2022-04-28,697124.0
2022-04-29,729033.0
2022-04-30,684282.0
2022-05-01,625556.0
2022-05-02,687096.0
2022-05-03,692327.0
2022-05-04,615048.0
2022-05-05,778504.0
2022-05-06,723743.0
2022-05-07,609656.0
2022-05-08,597305.0
2022-05-09,705421.0
2022-05-10,714602.0
2022-05-11,694927.0
2022-05-12,730516.0
2022-05-13,727914.0
2022-05-14,725013.0
2022-05-15,599841.0
2022-05-16,663779.0
2022-05-17,683798.0
2022-05-18,646333.0
2022-05-19,662000.0
2022-05-20,668605.0
2022-05-21,579268.0
2022-05-22,535873.0
2022-05-23,638912.0
2022-05-24,600094.0
2022-05-25,700322.0
2022-05-26,653373.0
2022-05-27,688580.0
2022-05-28,576357.0
2022-05-29,530365.0
2022-05-30,644720.0
2022-05-31,685567.0
2022-06-01,683372.0
2022-06-02,664442.0
2022-06-03,678027.0
2022-06-04,569230.0
2022-06-05,538083.0
2022-06-06,652057.0
2022-06-07,648390.0
2022-06-08,656376.0
2022-06-09,661923.0
2022-06-10,669839.0
2022-06-11,589547.0
2022-06-12,557721.0
2022-06-13,708381.0
2022-06-14,717234.0
2022-06-15,732637.0
2022-06-16,662185.0
2022-06-17,663831.0
2022-06-18,654430.0
2022-06-19,548972.0
2022-06-20,605998.0
2022-06-21,647716.0
2022-06-22,639691.0
2022-06-23,633984.0
2022-06-24,650157.0
2022-06-25,557791.0
2022-06-26,528289.0
2022-06-27,621986.0
2022-06-28,624229.0
2022-06-29,654949.0
2022-06-30,699397.0
2022-07-01,714094.0
2022-07-02,614214.0
2022-07-03,548190.0
2022-07-04,610225.0
2022-07-05,616343.0
2022-07-06,687966.0
2022-07-07,691644.0
2022-07-08,682201.0
2022-07-09,576270.0
2022-07-10,523353.0
2022-07-11,590261.0
2022-07-12,657668.0
2022-07-13,597185.0
2022-07-14,685931.0
2022-07-15,661194.0
2022-07-16,577967.0
2022-07-17,519659.0
2022-07-18,611990.0
2022-07-19,682638.0
2022-07-20,642244.0
2022-07-21,686329.0
2022-07-22,650694.0
2022-07-23,572761.0
2022-07-24,531268.0
2022-07-25,629329.0
2022-07-26,655695.0
2022-07-27,644191.0
2022-07-28,697022.0
2022-07-29,708268.0
2022-07-30,601643.0
2022-07-31,561055.0
2022-08-01,635502.0
2022-08-02,663588.0
2022-08-03,693063.0
2022-08-04,695558.0
2022-08-05,687443.0
2022-08-06,610889.0
2022-08-07,522072.0
2022-08-08,652517.0
2022-08-09,646055.0
2022-08-10,663480.0
2022-08-11,725127.0
2022-08-12,703328.0
2022-08-13,613804.0
2022-08-14,551189.0
2022-08-15,620533.0
2022-08-16,677726.0
2022-08-17,648642.0
2022-08-18,685923.0
2022-08-19,736405.0
2022-08-20,597278.0
2022-08-21,549247.0
2022-08-22,629040.0
2022-08-23,641154.0
2022-08-24,649399.0
2022-08-25,656808.0
2022-08-26,686060.0
2022-08-27,605125.0
2022-08-28,547812.0
2022-08-29,641513.0
2022-08-30,660170.0
2022-08-31,652024.0
2022-09-01,685449.0
2022-09-02,710783.0
2022-09-03,641511.0
2022-09-04,541540.0
2022-09-05,628765.0
2022-09-06,657784.0
2022-09-07,676262.0
2022-09-08,685564.0
2022-09-09,753468.0
2022-09-10,646199.0
2022-09-11,607174.0
2022-09-12,665425.0
2022-09-13,663498.0
2022-09-14,687667.0
2022-09-15,700513.0
2022-09-16,706574.0
2022-09-17,641808.0
2022-09-18,556563.0
2022-09-19,631537.0
2022-09-20,650202.0
2022-09-21,632611.0
2022-09-22,614742.0
2022-09-23,689899.0
2022-09-24,588364.0
2022-09-25,574037.0
2022-09-26,614435.0
2022-09-27,648681.0
2022-09-28,620268.0
2022-09-29,652313.0
2022-09-30,717755.0
2022-10-01,627906.0
2022-10-02,570649.0
2022-10-03,656236.0
2022-10-04,655477.0
2022-10-05,644568.0
2022-10-06,677796.0
2022-10-07,675013.0
2022-10-08,610636.0
2022-10-09,553851.0
2022-10-10,619704.0
2022-10-11,635320.0
2022-10-12,646003.0
2022-10-13,691476.0
2022-10-14,694651.0
2022-10-15,612380.0
2022-10-16,558957.0
2022-10-17,613662.0
2022-10-18,615413.0
2022-10-19,612805.0
2022-10-20,633545.0
2022-10-21,671089.0
2022-10-22,598580.0
2022-10-23,582380.0
2022-10-24,629949.0
2022-10-25,601629.0
2022-10-26,683262.0
2022-10-27,648360.0
2022-10-28,679257.0
2022-10-29,668004.0
2022-10-30,594597.0
2022-10-31,667561.0
2022-11-01,666319.0
2022-11-02,630399.0
2022-11-03,716406.0
2022-11-04,689430.0
2022-11-05,648416.0
2022-11-06,577334.0
2022-11-07,643216.0
2022-11-08,719305.0
2022-11-09,754032.0
2022-11-10,774942.0
2022-11-11,747386.0
2022-11-12,677645.0
2022-11-13,656286.0
2022-11-14,661596.0
2022-11-15,703644.0
2022-11-16,670368.0
2022-11-17,636467.0
2022-11-18,697975.0
2022-11-19,647807.0
2022-11-20,595776.0
2022-11-21,661220.0
2022-11-22,623451.0
2022-11-23,696412.0
2022-11-24,642832.0
2022-11-25,640008.0
2022-11-26,598183.0
2022-11-27,568789.0
2022-11-28,630827.0
2022-11-29,658815.0
2022-11-30,656181.0
2022-12-01,704310.0
2022-12-02,686664.0
2022-12-03,650867.0
2022-12-04,570337.0
2022-12-05,654949.0
2022-12-06,637825.0
2022-12-07,652144.0
2022-12-08,646079.0
2022-12-09,662365.0
2022-12-10,617455.0
2022-12-11,570664.0
2022-12-12,639530.0
2022-12-13,710573.0
2022-12-14,673994.0
2022-12-15,691792.0
2022-12-16,675745.0
2022-12-17,675840.0
2022-12-18,559608.0
2022-12-19,625817.0
2022-12-20,653824.0
2022-12-21,653064.0
2022-12-22,665463.0
2022-12-23,680283.0
2022-12-24,562534.0
2022-12-25,522307.0
2022-12-26,548937.0
2022-12-27,593337.0
2022-12-28,661225.0
2022-12-29,668338.0
2022-12-30,726125.0
2022-12-31,618594.0
2023-01-01,509337.0
2023-01-02,575250.0
2023-01-03,645565.0
2023-01-04,652878.0
2023-01-05,682119.0
2023-01-06,685990.0
2023-01-07,601071.0
2023-01-08,565595.0
2023-01-09,662916.0
2023-01-10,695664.0
2023-01-11,661284.0
2023-01-12,717816.0
2023-01-13,743545.0
2023-01-14,725858.0
2023-01-15,605147.0
2023-01-16,677371.0
2023-01-17,680259.0
2023-01-18,681758.0
2023-01-19,684950.0
2023-01-20,702080.0
2023-01-21,676478.0
2023-01-22,610248.0
2023-01-23,651866.0
2023-01-24,660507.0
2023-01-25,687864.0
2023-01-26,669489.0
2023-01-27,699439.0
2023-01-28,637939.0
2023-01-29,616633.0
2023-01-30,667280.0
2023-01-31,709466.0
2023-02-01,745886.0
2023-02-02,752262.0
2023-02-03,738211.0
2023-02-04,691143.0
2023-02-05,594717.0
2023-02-06,663760.0
2023-02-07,688379.0
2023-02-08,682912.0
2023-02-09,783722.0
2023-02-10,700869.0
2023-02-11,654726.0
2023-02-12,617837.0
2023-02-13,666916.0
2023-02-14,675701.0
2023-02-15,723537.0
2023-02-16,759215.0
2023-02-17,716489.0
2023-02-18,656568.0
2023-02-19,569883.0
2023-02-20,615969.0
2023-02-21,654981.0
2023-02-22,660490.0
2023-02-23,693262.0
2023-02-24,695824.0
2023-02-25,626600.0
2023-02-26,628404.0
2023-02-27,644967.0
2023-02-28,731797.0
2023-03-01,826824.0
2023-03-02,726383.0
2023-03-03,807383.0
2023-03-04,678996.0
2023-03-05,630099.0
2023-03-06,671836.0
2023-03-07,771846.0
2023-03-08,656385.0
2023-03-09,700965.0
2023-03-10,762121.0
2023-03-11,721567.0
2023-03-12,621363.0
2023-03-13,725571.0
2023-03-14,728811.0
2023-03-15,750215.0
2023-03-16,687640.0
2023-03-17,768841.0
2023-03-18,691597.0
2023-03-19,619482.0
2023-03-20,725399.0
2023-03-21,708659.0
2023-03-22,688658.0
2023-03-23,677191.0
2023-03-24,683787.0
2023-03-25,659846.0
2023-03-26,594775.0
2023-03-27,668827.0
2023-03-28,684623.0
2023-03-29,727221.0
2023-03-30,727172.0
2023-03-31,732643.0
2023-04-01,702374.0
2023-04-02,659613.0
2023-04-03,681747.0
2023-04-04,809319.0
2023-04-05,719774.0
2023-04-06,740308.0
2023-04-07,739977.0
2023-04-08,661759.0
2023-04-09,570129.0
2023-04-10,633252.0
2023-04-11,793340.0
2023-04-12,714277.0
2023-04-13,720191.0
2023-04-14,729076.0
2023-04-15,644020.0
2023-04-16,558992.0
2023-04-17,665181.0
2023-04-18,680093.0
2023-04-19,680099.0
2023-04-20,675813.0
2023-04-21,771581.0
2023-04-22,652782.0
2023-04-23,604273.0
2023-04-24,634746.0
2023-04-25,663868.0
2023-04-26,668682.0
2023-04-27,673213.0
2023-04-28,725813.0
2023-04-29,628996.0
2023-04-30,612597.0
2023-05-01,697731.0
2023-05-02,620729.0
2023-05-03,728440.0
2023-05-04,680011.0
2023-05-05,652054.0
2023-05-06,619770.0
2023-05-07,482095.0
2023-05-08,552358.0
2023-05-09,586519.0
2023-05-10,686423.0
2023-05-11,596717.0
2023-05-12,604937.0
2023-05-13,553742.0
2023-05-14,565005.0
2023-05-15,579485.0
2023-05-16,625496.0
2023-05-17,627113.0
2023-05-18,603811.0
2023-05-19,664491.0
2023-05-20,559902.0
2023-05-21,542208.0
2023-05-22,604303.0
2023-05-23,636984.0
2023-05-24,617027.0
2023-05-25,689359.0
2023-05-26,738629.0
2023-05-27,672783.0
2023-05-28,647993.0
2023-05-29,664954.0
2023-05-30,713954.0
2023-05-31,709100.0
2023-06-01,678136.0
2023-06-02,721266.0
2023-06-03,635282.0
2023-06-04,588801.0
2023-06-05,610475.0
2023-06-06,763100.0
2023-06-07,734954.0
2023-06-08,682296.0
2023-06-09,676835.0
2023-06-10,643676.0
2023-06-11,561469.0
2023-06-12,617352.0
2023-06-13,682607.0
2023-06-14,633244.0
2023-06-15,689182.0
2023-06-16,765014.0
2023-06-17,662278.0
2023-06-18,661930.0
2023-06-19,614017.0
2023-06-20,746599.0
2023-06-21,693078.0
2023-06-22,722789.0
2023-06-23,707501.0
2023-06-24,683837.0
2023-06-25,656558.0
2023-06-26,692095.0
2023-06-27,707936.0
2023-06-28,627350.0
2023-06-29,726305.0
2023-06-30,753791.0
2023-07-01,622117.0
2023-07-02,534333.0
2023-07-03,655439.0
2023-07-04,645583.0
2023-07-05,716586.0
2023-07-06,709055.0
2023-07-07,773326.0
2023-07-08,695972.0
2023-07-09,732590.0
2023-07-10,679425.0
2023-07-11,686922.0
2023-07-12,752660.0
2023-07-13,678891.0
2023-07-14,760021.0
2023-07-15,732135.0
2023-07-16,732664.0
2023-07-17,703876.0
2023-07-18,775244.0
2023-07-19,745057.0
2023-07-20,685150.0
2023-07-21,657357.0
2023-07-22,556589.0
2023-07-23,691587.0
2023-07-24,704020.0
2023-07-25,734826.0
2023-07-26,737067.0
2023-07-27,713630.0
2023-07-28,720574.0
2023-07-29,694496.0
2023-07-30,800500.0
2023-07-31,677346.0
2023-08-01,734323.0
2023-08-02,698941.0
2023-08-03,716303.0
2023-08-04,641787.0
2023-08-05,729623.0
2023-08-06,771973.0
2023-08-07,676210.0
2023-08-08,616643.0
2023-08-09,735662.0
2023-08-10,711323.0
2023-08-11,733810.0
2023-08-12,703004.0
2023-08-13,650366.0
2023-08-14,723900.0
2023-08-15,786113.0
2023-08-16,669749.0
2023-08-17,769086.0
2023-08-18,783855.0
2023-08-19,628343.0
2023-08-20,691316.0
2023-08-21,739287.0
2023-08-22,633631.0
2023-08-23,652036.0
2023-08-24,660102.0
2023-08-25,706946.0
2023-08-26,747932.0
2023-08-27,606069.0
2023-08-28,636935.0
2023-08-29,767879.0
2023-08-30,665354.0
2023-08-31,742110.0
2023-09-01,769950.0
2023-09-02,774348.0
2023-09-03,696368.0
2023-09-04,730142.0
2023-09-05,753968.0
2023-09-06,757286.0
2023-09-07,785059.0
2023-09-08,694292.0
2023-09-09,927787.0
2023-09-10,847065.0
2023-09-11,719793.0
2023-09-12,784703.0
2023-09-13,802393.0
2023-09-14,875176.0
2023-09-15,1017545.0
2023-09-16,876224.0
2023-09-17,854606.0
2023-09-18,852484.0
2023-09-19,741822.0
2023-09-20,823616.0
2023-09-21,763149.0
2023-09-22,757791.0
2023-09-23,882768.0
2023-09-24,685778.0
2023-09-25,635909.0
2023-09-26,624716.0
2023-09-27,621414.0
2023-09-28,639899.0
2023-09-29,713902.0
2023-09-30,625600.0
2023-10-01,613394.0
2023-10-02,691873.0
2023-10-03,676161.0
2023-10-04,638418.0
2023-10-05,687363.0
2023-10-06,679001.0
2023-10-07,596825.0
2023-10-08,557949.0
2023-10-09,599404.0
2023-10-10,629505.0
2023-10-11,607097.0
2023-10-12,624747.0
2023-10-13,662518.0
2023-10-14,612783.0
2023-10-15,571061.0
2023-10-16,652765.0
2023-10-17,645537.0
2023-10-18,613906.0
2023-10-19,649723.0
2023-10-20,705226.0
2023-10-21,640544.0
2023-10-22,577606.0
2023-10-23,660705.0
2023-10-24,755204.0
2023-10-25,812853.0
2023-10-26,778594.0
2023-10-27,801082.0
2023-10-28,819540.0
2023-10-29,672955.0
2023-10-30,779588.0
2023-10-31,782062.0
2023-11-01,796206.0
2023-11-02,806444.0
2023-11-03,789502.0
2023-11-04,957847.0
2023-11-05,891683.0
2023-11-06,725183.0
2023-11-07,737771.0
2023-11-08,837044.0
2023-11-09,832393.0
2023-11-10,848433.0
2023-11-11,894325.0
2023-11-12,880975.0
2023-11-13,670301.0
2023-11-14,745056.0
2023-11-15,770577.0
2023-11-16,813390.0
2023-11-17,760684.0
2023-11-18,748237.0
2023-11-19,806772.0
2023-11-20,804527.0
2023-11-21,779702.0
2023-11-22,777966.0
2023-11-23,771284.0
2023-11-24,841609.0
2023-11-25,861295.0
2023-11-26,817987.0
2023-11-27,759608.0
2023-11-28,713884.0
2023-11-29,646160.0
2023-11-30,701654.0
2023-12-01,844580.0
2023-12-02,689877.0
2023-12-03,777188.0
2023-12-04,763939.0
2023-12-05,674260.0
2023-12-06,642605.0
2023-12-07,647634.0
2023-12-08,682971.0
2023-12-09,739198.0
2023-12-10,664453.0
2023-12-11,690909.0
2023-12-12,688671.0
2023-12-13,617899.0
2023-12-14,573978.0
2023-12-15,706714.0
2023-12-16,636391.0
2023-12-17,570690.0
2023-12-18,715198.0
2023-12-19,684666.0
2023-12-20,659068.0
2023-12-21,699086.0
2023-12-22,772558.0
2023-12-23,683793.0
2023-12-24,731313.0
2023-12-25,572121.0
2023-12-26,582914.0
2023-12-27,647166.0
2023-12-28,593042.0
2023-12-29,703116.0
2023-12-30,599027.0
2023-12-31,690255.0
2024-01-01,624628.0
2024-01-02,550846.0
2024-01-03,677059.0
2024-01-04,675009.0
2024-01-05,645934.0
2024-01-06,572161.0
2024-01-07,510040.0
2024-01-08,534011.0
2024-01-09,618468.0
2024-01-10,605995.0
2024-01-11,664879.0
2024-01-12,596693.0
2024-01-13,715186.0
2024-01-14,616604.0
2024-01-15,568802.0
2024-01-16,569684.0
2024-01-17,647470.0
2024-01-18,678147.0
2024-01-19,627719.0
2024-01-20,656529.0
2024-01-21,621585.0
2024-01-22,620801.0
2024-01-23,600773.0
2024-01-24,564400.0
2024-01-25,573766.0
2024-01-26,683719.0
2024-01-27,718169.0
2024-01-28,731738.0
2024-01-29,697324.0
2024-01-30,687547.0
2024-01-31,622142.0
2024-02-01,680097.0
2024-02-02,691810.0
2024-02-03,668270.0
2024-02-04,539397.0
2024-02-05,525379.0
2024-02-06,521338.0
2024-02-07,640781.0
2024-02-08,547079.0
2024-02-09,615935.0
2024-02-10,637411.0
2024-02-11,558692.0
2024-02-12,649038.0
2024-02-13,589286.0
2024-02-14,586548.0
2024-02-15,612859.0
2024-02-16,613011.0
2024-02-17,590229.0
2024-02-18,563861.0
2024-02-19,617452.0
2024-02-20,638563.0
2024-02-21,630339.0
2024-02-22,642155.0
2024-02-23,679759.0
2024-02-24,591315.0
2024-02-25,607478.0
2024-02-26,620435.0
2024-02-27,674490.0
2024-02-28,763915.0
2024-02-29,772702.0
2024-03-01,771270.0
2024-03-02,623680.0
2024-03-03,633897.0
2024-03-04,664743.0
2024-03-05,772888.0
2024-03-06,681667.0
2024-03-07,714978.0
2024-03-08,716770.0
2024-03-09,632927.0
2024-03-10,627815.0
2024-03-11,684136.0
2024-03-12,677201.0
2024-03-13,710767.0
2024-03-14,663447.0
2024-03-15,749328.0
2024-03-16,621787.0
2024-03-17,601779.0
2024-03-18,673489.0
2024-03-19,755218.0
2024-03-20,639266.0
2024-03-21,611408.0
2024-03-22,679058.0
2024-03-23,622559.0
2024-03-24,566459.0
2024-03-25,623335.0
2024-03-26,648004.0
2024-03-27,637151.0
2024-03-28,696012.0
2024-03-29,659374.0
2024-03-30,614851.0
2024-03-31,546293.0
2024-04-01,648777.0
2024-04-02,685496.0
2024-04-03,714141.0
2024-04-04,655509.0
2024-04-05,643705.0
2024-04-06,673290.0
2024-04-07,652726.0
2024-04-08,685180.0
2024-04-09,683771.0
2024-04-10,703704.0
2024-04-11,631803.0
2024-04-12,683741.0
2024-04-13,683432.0
2024-04-14,665693.0
2024-04-15,666015.0
2024-04-16,743368.0
2024-04-17,661886.0
2024-04-18,670913.0
2024-04-19,727141.0
2024-04-20,455683.0
2024-04-21,484762.0
2024-04-22,534717.0
2024-04-23,441797.0
2024-04-24,632356.0
2024-04-25,633650.0
2024-04-26,664327.0
2024-04-27,673970.0
2024-04-28,509501.0
2024-04-29,603796.0
2024-04-30,635509.0
2024-05-01,587665.0
2024-05-02,528151.0
2024-05-03,537019.0
2024-05-04,473521.0
2024-05-05,429326.0
2024-05-06,466177.0
2024-05-07,495831.0
2024-05-08,514675.0
2024-05-09,513026.0
2024-05-10,474605.0
2024-05-11,445747.0
2024-05-12,377543.0
2024-05-13,466123.0
2024-05-14,458041.0
2024-05-15,516619.0
2024-05-16,494221.0
2024-05-17,514199.0
2024-05-18,434371.0
2024-05-19,405155.0
2024-05-20,482108.0
2024-05-21,508542.0
2024-05-22,491272.0
2024-05-23,533345.0
2024-05-24,483309.0
2024-05-25,465497.0
2024-05-26,403848.0
2024-05-27,430424.0
2024-05-28,448181.0
2024-05-29,449070.0
2024-05-30,499634.0
2024-05-31,528690.0
2024-06-01,449639.0
2024-06-02,393004.0
2024-06-03,482689.0
2024-06-04,492874.0
2024-06-05,460473.0
2024-06-06,476121.0
2024-06-07,468301.0
