Date,Total Bitcoins in Circulation
2022-03-01,18971037.5
2022-03-02,18972075.0
2022-03-03,18973112.5
2022-03-04,18974150.0
2022-03-05,18975193.75
2022-03-07,18976231.25
2022-03-08,18977268.75
2022-03-09,18978306.25
2022-03-10,18979343.75
2022-03-11,18980381.25
2022-03-12,18981425.0
2022-03-13,18982475.0
2022-03-14,18983512.5
2022-03-16,18984550.0
2022-03-17,18985593.75
2022-03-18,18986631.25
2022-03-19,18987668.75
2022-03-20,18988706.25
2022-03-21,18989743.75
2022-03-22,18990781.25
2022-03-23,18991818.75
2022-03-24,18992856.25
2022-03-26,18993893.75
2022-03-27,18994937.5
2022-03-28,18995981.25
2022-03-29,18997018.75
2022-03-30,18998056.25
2022-03-31,18999093.75
2022-04-01,19000131.25
2022-04-03,19001175.0
2022-04-04,19002212.5
2022-04-05,19003250.0
2022-04-06,19004300.0
2022-04-07,19005343.75
2022-04-08,19006387.5
2022-04-09,19007425.0
2022-04-11,19008462.5
2022-04-12,19009500.0
2022-04-13,19010537.5
2022-04-14,19011575.0
2022-04-15,19012612.5
2022-04-16,19013650.0
2022-04-17,19014687.5
2022-04-19,19015725.0
2022-04-20,19016775.0
2022-04-21,19017812.5
2022-04-22,19018850.0
2022-04-23,19019887.5
2022-04-24,19020925.0
2022-04-25,19021962.5
2022-04-26,19023000.0
2022-04-27,19024043.75
2022-04-28,19025087.5
2022-04-30,19026125.0
2022-05-01,19027175.0
2022-05-02,19028212.5
2022-05-03,19029250.0
2022-05-04,19030287.5
2022-05-05,19031325.0
2022-05-06,19032362.5
2022-05-07,19033406.25
2022-05-08,19034443.75
2022-05-09,19035481.25
2022-05-10,19036518.75
2022-05-12,19037556.25
2022-05-13,19038593.75
2022-05-14,19039631.25
2022-05-15,19040681.25
2022-05-16,19041725.0
2022-05-17,19042762.5
2022-05-19,19043850.0
2022-05-20,19044893.75
2022-05-21,19045937.5
2022-05-23,19046975.0
2022-05-24,19048012.5
2022-05-25,19049050.0
2022-05-26,19050087.5
2022-05-27,19051125.0
2022-05-29,19052162.5
2022-05-30,19053200.0
2022-05-31,19054237.5
2022-06-01,19055275.0
2022-06-02,19056312.5
2022-06-03,19057350.0
2022-06-05,19058393.75
2022-06-06,19059437.5
2022-06-07,19060481.25
2022-06-08,19061518.75
2022-06-09,19062556.25
2022-06-10,19063593.75
2022-06-11,19064631.25
2022-06-12,19065668.75
2022-06-13,19066718.75
2022-06-15,19067756.25
2022-06-16,19068793.75
2022-06-17,19069831.25
2022-06-18,19070868.75
2022-06-20,19071906.25
2022-06-21,19072950.0
2022-06-22,19073987.5
2022-06-23,19075031.25
2022-06-24,19076075.0
2022-06-25,19077112.5
2022-06-27,19078150.0
2022-06-28,19079187.5
2022-06-29,19080231.25
2022-06-30,19081268.75
2022-07-01,19082306.25
2022-07-02,19083343.75
2022-07-03,19084381.25
2022-07-05,19085418.75
2022-07-06,19086456.25
2022-07-07,19087500.0
2022-07-08,19088537.5
2022-07-09,19089581.25
2022-07-11,19090625.0
2022-07-12,19091662.5
2022-07-13,19092706.25
2022-07-14,19093743.75
2022-07-16,19094781.25
2022-07-17,19095825.0
2022-07-18,19096868.75
2022-07-19,19097906.25
2022-07-21,19098943.75
2022-07-22,19099987.5
2022-07-23,19101025.0
2022-07-24,19102062.5
2022-07-25,19103106.25
2022-07-26,19104143.75
2022-07-27,19105181.25
2022-07-28,19106225.0
2022-07-30,19107262.5
2022-07-31,19108300.0
2022-08-01,19109337.5
2022-08-02,19110381.25
2022-08-03,19111418.75
2022-08-04,19112456.25
2022-08-06,19113493.75
2022-08-07,19114537.5
2022-08-08,19115575.0
2022-08-09,19116618.75
2022-08-10,19117656.25
2022-08-11,19118693.75
2022-08-12,19119731.25
2022-08-13,19120768.75
2022-08-15,19121806.25
2022-08-16,19122843.75
2022-08-17,19123887.5
2022-08-18,19124925.0
2022-08-19,19125962.5
2022-08-20,19127000.0
2022-08-21,19128037.5
2022-08-23,19130125.0
2022-08-25,19131162.5
2022-08-26,19132200.0
2022-08-27,19133237.5
2022-08-28,19134275.0
2022-08-29,19135318.75
2022-08-30,19136356.25
2022-08-31,19137406.25
2022-09-01,19138443.75
2022-09-02,19139481.25
2022-09-03,19140518.75
2022-09-04,19141556.25
2022-09-06,19142593.75
2022-09-07,19143631.25
2022-09-08,19144668.75
2022-09-09,19145706.25
2022-09-10,19146743.75
2022-09-11,19147781.25
2022-09-12,19148825.0
2022-09-13,19149862.5
2022-09-15,19150900.0
2022-09-16,19151937.5
2022-09-17,19152975.0
2022-09-18,19154031.25
2022-09-19,19155075.0
2022-09-20,19156112.5
2022-09-21,19157150.0
2022-09-23,19158187.5
2022-09-24,19159225.0
2022-09-25,19160268.75
2022-09-26,19161325.0
2022-09-27,19162368.75
2022-09-29,19163406.25
2022-09-30,19164443.75
2022-10-01,19165493.75
2022-10-02,19166531.25
2022-10-03,19167568.75
2022-10-04,19168606.25
2022-10-05,19169643.75
2022-10-06,19170681.25
2022-10-07,19171718.75
2022-10-08,19172756.25
2022-10-09,19173800.0
2022-10-10,19174850.0
2022-10-11,19175900.0
2022-10-12,19176937.5
2022-10-13,19177975.0
2022-10-14,19179012.5
2022-10-15,19180050.0
2022-10-16,19181100.0
2022-10-17,19182137.5
2022-10-19,19183181.25
2022-10-20,19184218.75
2022-10-21,19185262.5
2022-10-22,19186300.0
2022-10-23,19187337.5
2022-10-24,19188375.0
2022-10-26,19189412.5
2022-10-27,19190450.0
2022-10-28,19191487.5
2022-10-29,19192525.0
2022-10-30,19193562.5
2022-10-31,19194600.0
2022-11-01,19195643.75
2022-11-03,19196681.25
2022-11-04,19197725.0
2022-11-05,19198762.5
2022-11-06,19199800.0
2022-11-07,19200837.5
2022-11-08,19201875.0
2022-11-09,19202912.5
2022-11-10,19203950.0
2022-11-12,19204993.75
2022-11-13,19206031.25
2022-11-14,19207068.75
2022-11-15,19208112.5
2022-11-16,19209150.0
2022-11-17,19210193.75
2022-11-19,19211231.25
2022-11-20,19212268.75
2022-11-21,19213312.5
2022-11-22,19214356.25
2022-11-23,19215400.0
2022-11-25,19216437.5
2022-11-26,19217475.0
2022-11-27,19218512.5
2022-11-29,19219562.5
2022-11-30,19220600.0
2022-12-01,19221650.0
2022-12-02,19222687.5
2022-12-04,19223725.0
2022-12-05,19224762.5
2022-12-06,19225800.0
2022-12-07,19226837.5
2022-12-08,19227875.0
2022-12-09,19228918.75
2022-12-10,19229968.75
2022-12-11,19231006.25
2022-12-12,19232043.75
2022-12-13,19233081.25
2022-12-15,19234118.75
2022-12-16,19235156.25
2022-12-17,19236200.0
2022-12-18,19237250.0
2022-12-19,19238287.5
2022-12-21,19239331.25
2022-12-22,19240368.75
2022-12-23,19241406.25
2022-12-25,19242450.0
2022-12-26,19243487.5
2022-12-27,19244531.25
2022-12-28,19245568.75
2022-12-29,19246606.25
2022-12-30,19247643.75
2023-01-01,19248681.25
2023-01-02,19249718.75
2023-01-03,19250756.25
2023-01-04,19251800.0
2023-01-05,19252843.75
2023-01-06,19253906.25
2023-01-07,19254943.75
2023-01-08,19255987.5
2023-01-09,19257025.0
2023-01-10,19258068.75
2023-01-11,19259106.25
2023-01-12,19260143.75
2023-01-13,19261181.25
2023-01-14,19262218.75
2023-01-15,19263256.25
2023-01-16,19264293.75
2023-01-17,19265331.25
2023-01-19,19266375.0
2023-01-20,19267412.5
2023-01-21,19268456.25
2023-01-22,19269493.75
2023-01-23,19270531.25
2023-01-25,19272618.75
2023-01-27,19273656.25
2023-01-28,19274693.75
2023-01-29,19275731.25
2023-01-30,19276768.75
2023-01-31,19277806.25
2023-02-01,19278843.75
2023-02-02,19279881.25
2023-02-04,19280925.0
2023-02-05,19281962.5
2023-02-06,19283000.0
2023-02-07,19284043.75
2023-02-08,19285081.25
2023-02-09,19286118.75
2023-02-10,19287156.25
2023-02-12,19288193.75
2023-02-13,19289231.25
2023-02-14,19290268.75
2023-02-15,19291350.0
2023-02-16,19292387.5
2023-02-17,19293425.0
2023-02-18,19294468.75
2023-02-19,19295512.5
2023-02-20,19296562.5
2023-02-21,19297600.0
2023-02-22,19298643.75
2023-02-23,19299687.5
2023-02-24,19300725.0
2023-02-26,19301768.75
2023-02-27,19302806.25
2023-02-28,19303850.0
2023-03-01,19304887.5
2023-03-02,19305931.25
2023-03-03,19306968.75
2023-03-04,19308006.25
2023-03-05,19309056.25
2023-03-06,19310100.0
2023-03-07,19311137.5
2023-03-09,19312175.0
2023-03-10,19313212.5
2023-03-11,19314250.0
2023-03-12,19315287.5
2023-03-13,19316325.0
2023-03-14,19317368.75
2023-03-15,19318406.25
2023-03-16,19319443.75
2023-03-18,19320481.25
2023-03-19,19321518.75
2023-03-20,19322562.5
2023-03-21,19323600.0
2023-03-22,19324643.75
2023-03-23,19325700.0
2023-03-24,19326743.75
2023-03-25,19327781.25
2023-03-26,19328818.75
2023-03-27,19329856.25
2023-03-28,19330893.75
2023-03-30,19331931.25
2023-03-31,19332975.0
2023-04-01,19334012.5
2023-04-02,19335056.25
2023-04-03,19336093.75
2023-04-04,19337137.5
2023-04-05,19338175.0
2023-04-06,19339225.0
2023-04-08,19340268.75
2023-04-09,19341312.5
2023-04-10,19342350.0
2023-04-11,19343393.75
2023-04-12,19344431.25
2023-04-13,19345468.75
2023-04-15,19346512.5
2023-04-16,19347556.25
2023-04-17,19348600.0
2023-04-18,19349637.5
2023-04-19,19350675.0
2023-04-20,19351712.5
2023-04-21,19352750.0
2023-04-23,19353787.5
2023-04-24,19354825.0
2023-04-25,19355868.75
2023-04-26,19356906.25
2023-04-27,19357950.0
2023-04-29,19358987.5
2023-04-30,19360025.0
2023-05-01,19361062.5
2023-05-02,19362118.75
2023-05-03,19363156.25
2023-05-04,19364193.75
2023-05-06,19365231.25
2023-05-07,19366268.75
2023-05-08,19367306.25
2023-05-09,19368343.75
2023-05-10,19369381.25
2023-05-11,19370418.75
2023-05-12,19371456.25
2023-05-13,19372493.75
2023-05-14,19373531.25
2023-05-16,19374568.75
2023-05-17,19375618.75
2023-05-18,19376656.25
2023-05-19,19377700.0
2023-05-20,19378737.5
2023-05-21,19379775.0
2023-05-22,19380812.5
2023-05-23,19381850.0
2023-05-25,19382887.5
2023-05-26,19383925.0
2023-05-27,19384962.5
2023-05-28,19386000.0
2023-05-29,19387037.5
2023-05-30,19388081.25
2023-05-31,19389118.75
2023-06-01,19390168.75
2023-06-02,19391212.5
2023-06-04,19392256.25
2023-06-05,19393293.75
2023-06-06,19394337.5
2023-06-07,19395375.0
2023-06-08,19396418.75
2023-06-09,19397456.25
2023-06-10,19398500.0
2023-06-11,19399537.5
2023-06-12,19400575.0
2023-06-13,19401612.5
2023-06-15,19402656.25
2023-06-16,19403693.75
2023-06-17,19404737.5
2023-06-18,19405775.0
2023-06-19,19406812.5
2023-06-21,19407856.25
2023-06-22,19408893.75
2023-06-23,19409937.5
2023-06-24,19410975.0
2023-06-25,19412012.5
2023-06-27,19413056.25
2023-06-28,19414093.75
2023-06-29,19415131.25
2023-06-30,19416168.75
2023-07-01,19417206.25
2023-07-02,19418250.0
2023-07-04,19419306.25
