Date,volume_btc_bithumb,trade_value_krw_bithumb
2022-03-01,5562.49533076,288269149273.5723
2022-03-02,3613.88655702,192812750558.47433
2022-03-03,2360.11683376,125591161434.8009
2022-03-04,3352.74999971,171764668598.26236
2022-03-05,2962.67992651,144448907232.35062
2022-03-06,2233.02850589,107864323158.09247
2022-03-07,3894.07066384,185828943897.12766
2022-03-08,3300.0630465,157674775428.2487
2022-03-09,3407.73548808,172692154918.2896
2022-03-10,3968.98321225,198070152180.70758
2022-03-11,3006.19450413,146199963825.35846
2022-03-12,2028.020541895,98545146877.94856
2022-03-13,1740.71180921,84570627535.05765
2022-03-14,3188.92804394,153267919693.5712
2022-03-15,3085.64523007,149309219209.27106
2022-03-16,4257.78388865,210267509397.17358
2022-03-17,3322.69119906,166431732681.29385
2022-03-18,2301.23120675,114562329230.2969
2022-03-19,2524.80245169,128040841896.11082
2022-03-20,1707.07360559,87016192807.11612
2022-03-21,2883.2780145,145153649782.45798
2022-03-22,4059.48012607,207903341666.1878
2022-03-23,3428.32470117,176907797172.8448
2022-03-24,3790.5648519,197384812408.6967
2022-03-25,3609.10034743,191757123844.88953
2022-03-26,1935.11769635,104282693017.96733
2022-03-27,2382.68322894,128678510009.15953
2022-03-28,5049.01232745,281678169016.0651
2022-03-29,3769.75497065,215878729744.36523
2022-03-30,4028.1863119,229235598772.01782
2022-03-31,3987.70335915,226394122769.9061
2022-04-01,4367.59875156,241732804696.49484
2022-04-02,3203.25002273,181396346904.02234
2022-04-03,2407.05096704,135709920545.32613
2022-04-04,2403.70174734,135566751300.20406
2022-04-05,3071.0537236,174301899185.27365
2022-04-06,3371.96002696,187767634735.92554
2022-04-07,3475.81675894,186711290832.88303
2022-04-08,2501.0850122,135009615585.76714
2022-04-09,1906.91007178,101408535054.91643
2022-04-10,1332.31065395,70762583480.75119
2022-04-11,2974.16522046,156099570892.74176
2022-04-12,3861.03293,194266900381.2301
2022-04-13,3175.43235812,159305634803.27087
2022-04-14,2851.01144403,146356117547.95563
2022-04-15,2170.48914098,108586127387.305
2022-04-16,1096.51253444,55427244731.08384
2022-04-17,1020.0355686,51382283847.66582
2022-04-18,2271.62974638,112443131189.06017
2022-04-19,2722.51158721,138103636548.7719
2022-04-20,2162.86605003,111564164109.11594
2022-04-21,2514.51788819,130496555215.4966
