date,value
2025-02-01,51
2025-02-02,65
2025-02-03,100
2025-02-04,71
2025-02-05,63
2025-02-06,58
2025-02-07,56
2025-02-08,48
2025-02-09,48
2025-02-10,48
2025-02-11,50
2025-02-12,50
2025-02-13,47
2025-02-14,47
2025-02-15,40
2025-02-16,42
2025-02-17,46
2025-02-18,52
2025-02-19,46
2025-02-20,47
2025-02-21,51
2025-02-22,42
2025-02-23,39
2025-02-24,48
2025-02-25,93
2025-02-26,80
2025-02-27,73
2025-02-28,99
2025-03-01,59
2025-03-02,79
2025-03-03,92
2025-03-04,80
2025-03-05,68
2025-03-06,64
2025-03-07,83
2025-03-08,59
2025-03-09,59
2025-03-10,86
2025-03-11,81
2025-03-12,63
2025-03-13,59
2025-03-14,57
2025-03-15,46
2025-03-16,45
2025-03-17,52
2025-03-18,52
2025-03-19,51
2025-03-20,49
2025-03-21,43
2025-03-22,36
2025-03-23,39
2025-03-24,50
2025-03-25,46
2025-03-26,46
2025-03-27,43
2025-03-28,41
2025-03-29,38
2025-03-30,40
2025-03-31,51
2025-04-01,49
2025-04-02,50
2025-04-03,62
2025-04-04,57
2025-04-05,44
2025-04-06,51
2025-04-07,94
2025-04-08,66
2025-04-09,71
2025-04-10,59
2025-04-11,54
2025-04-12,43
2025-04-13,41
2025-04-14,46
2025-04-15,43
2025-04-16,42
2025-04-17,40
2025-04-18,35
2025-04-19,32
2025-04-20,37
2025-04-21,47
2025-04-22,53
2025-04-23,55
2025-04-24,46
2025-04-25,46
2025-04-26,35
2025-04-27,36
2025-04-28,42
2025-04-29,41
2025-04-30,40
