date,value
2024-02-01,10
2024-02-02,11
2024-02-03,10
2024-02-04,11
2024-02-05,11
2024-02-06,11
2024-02-07,12
2024-02-08,16
2024-02-09,20
2024-02-10,14
2024-02-11,16
2024-02-12,21
2024-02-13,21
2024-02-14,24
2024-02-15,26
2024-02-16,19
2024-02-17,17
2024-02-18,17
2024-02-19,18
2024-02-20,19
2024-02-21,16
2024-02-22,16
2024-02-23,17
2024-02-24,15
2024-02-25,13
2024-02-26,18
2024-02-27,34
2024-02-28,60
2024-02-29,68
2024-03-01,35
2024-03-02,32
2024-03-03,38
2024-03-04,54
2024-03-05,93
2024-03-06,60
2024-03-07,41
2024-03-08,37
2024-03-09,37
2024-03-10,38
2024-03-11,100
2024-03-12,73
2024-03-13,55
2024-03-14,53
2024-03-15,60
2024-03-16,45
2024-03-17,43
2024-03-18,38
2024-03-19,48
2024-03-20,46
2024-03-21,34
2024-03-22,34
2024-03-23,30
2024-03-24,36
2024-03-25,47
2024-03-26,30
2024-03-27,29
2024-03-28,27
2024-03-29,26
2024-03-30,19
2024-03-31,25
2024-04-01,30
2024-04-02,36
2024-04-03,27
2024-04-04,24
2024-04-05,25
2024-04-06,18
2024-04-07,19
2024-04-08,27
2024-04-09,24
2024-04-10,21
2024-04-11,26
2024-04-12,32
2024-04-13,33
2024-04-14,42
2024-04-15,41
2024-04-16,29
2024-04-17,29
2024-04-18,33
2024-04-19,42
2024-04-20,43
2024-04-21,32
2024-04-22,24
2024-04-23,19
2024-04-24,20
2024-04-25,28
2024-04-26,18
2024-04-27,17
2024-04-28,16
2024-04-29,26
2024-04-30,24
