Date,volume_btc,trade_value_krw,KOSPI_Volatility,USD_KRW
2024-01-12,25500.48719051,1591630622117.0742,16.77,1313.41
2024-01-16,11536.05824039,677673413676.8761,17.18,1331.5
2024-01-17,10605.981846390001,624169244528.4778,19.31,1344.23
2024-01-18,12094.239572819999,705053850931.2303,18.32,1338.73
2024-01-19,16856.2672982,960662809734.933,17.64,1338.53
2024-01-22,13598.823141010002,767109649101.7351,18.01,1338.25
2024-01-23,19178.58008636,1046135257973.3196,17.39,1333.76
2024-01-24,13025.119865050001,714580536739.5883,17.07,1337.74
2024-01-25,9498.40846178,523095969488.45667,16.92,1336.0
2024-01-26,13066.76438447,733199850858.1804,16.96,1336.08
2024-01-29,9384.903927989999,544949280734.88403,17.27,1335.5
2024-01-30,11582.50060934,684576562081.9808,17.11,1328.93
2024-01-31,10497.583926629999,619267961753.525,17.02,1334.9
2024-02-01,10116.89016116,591731222503.7118,16.79,1331.78
2024-02-02,11781.807426970001,694708175984.0281,17.79,1321.9
2024-02-05,8753.55641307,516562802508.43146,18.06,1330.98
2024-02-06,6331.985793510001,372624318112.8156,17.59,1326.83
2024-02-07,6715.43751712,397570648992.7481,17.62,1327.37
2024-02-08,8052.544837220001,490353855678.6106,17.24,1328.07
2024-02-09,12730.82209669,806889514304.73,17.5,1333.1
2024-02-12,9394.38565068,619146011728.5422,17.759999999999998,1331.37
2024-02-13,11798.994184160001,790378411442.9651,18.02,1327.88
2024-02-14,12470.29936637,858323550741.5278,17.98,1335.06
2024-02-15,12505.72319932,889994102554.5714,17.79,1333.84
2024-02-16,8228.273801379999,589939850827.7833,17.41,1334.96
2024-02-20,8219.4267265,591159123528.026,18.09,1337.25
2024-02-21,7047.79502064,505554808432.59204,18.5,1334.95
2024-02-22,5617.04571793,403146490121.78516,18.22,1328.71
2024-02-23,5274.10243455,376387269402.77,18.31,1328.71
2024-02-26,8064.81313246,581226701298.6343,17.94,1330.86
2024-02-27,15691.27265812,1209613494732.5278,17.16,1330.86
2024-02-28,24304.000576190003,2014318448385.1511,16.83,1336.02
2024-02-29,21386.71093094,1863219993461.5068,16.77,1336.19
2024-03-01,8904.03786972,775393928553.0767,17.049999999999997,1334.8
2024-03-04,15774.861580460001,1436767198181.4282,17.33,1331.29
2024-03-05,26574.45016074,2488024396708.391,17.13,1336.51
2024-03-06,17813.164638759998,1637887663905.698,17.25,1333.99
2024-03-07,7584.19963243,712512415120.5627,17.25,1324.3
2024-03-08,10160.11111224,971146388754.9148,17.25,1319.28
2024-03-11,16845.64165247,1673364035671.6743,18.05,1312.55
2024-03-12,10072.47812301,1016647330245.6814,17.8,1310.82
2024-03-13,9731.46689284,1002380349386.2589,16.93,1314.67
2024-03-14,12562.65998737,1292410956166.0374,16.51,1318.2
2024-03-15,22343.67636504,2211285171272.6216,16.83,1329.35
2024-03-18,7807.02342058,773892071693.8054,17.12,1333.59
2024-03-19,17219.28912998,1635923164486.3337,16.78,1338.28
2024-03-20,17436.04850521,1639989067184.7615,16.92,1339.02
2024-03-21,10101.81159989,982966527848.7682,17.53,1322.11
2024-03-22,8699.93725303,819881838099.4524,17.13,1338.14
2024-03-25,8993.069062909999,879929377905.877,17.35,1342.61
2024-03-26,7215.230216,720862572076.2053,17.34,1344.0
2024-03-27,8715.999056480001,871967716412.3866,17.14,1348.58
2024-03-28,6924.802158570001,694920661516.5383,16.88,1346.01
2024-03-29,5455.03128394,546096522887.1361,16.84,1347.08
2024-04-01,5859.01091483,584573660162.5438,17.13,1348.75
2024-04-02,10474.90721042,1014774855009.2262,17.1,1351.37
2024-04-03,5650.56368619,543587686923.27673,17.63,1348.5
2024-04-04,5518.80421616,537164839625.1734,17.2,1346.87
2024-04-05,4908.75409296,481829305797.1415,18.12,1352.58
2024-04-08,7060.25128565,716455927600.9979,18.16,1353.2
2024-04-09,5915.2593445,593429165885.5948,18.09,1354.8
2024-04-10,5529.481100880001,548022727100.85565,18.060000000000002,1349.05
2024-04-11,4134.56710985,416189415790.5017,18.03,1364.19
2024-04-12,5753.08117675,576434726822.7548,17.59,1374.74
2024-04-15,7476.63087305,730485127208.9741,18.45,1383.63
2024-04-16,8140.43698781,773348595417.8525,19.95,1393.92
2024-04-17,8759.01538675,814765814239.9371,20.02,1385.88
2024-04-18,7942.353780580001,729607709818.0872,19.42,1373.42
2024-04-19,11306.45998491,1046240047207.6122,21.22,1376.72
2024-04-22,4104.273971,393654928588.547,19.8,1381.84
2024-04-23,4202.04864032,404364995767.8102,18.93,1379.27
2024-04-24,4474.33512393,424676385118.537,18.02,1369.86
2024-04-25,5152.78430681,477448037512.05524,18.82,1369.86
2024-04-26,2807.41695879,259119691662.00723,18.32,1375.1
2024-04-29,5905.00125089,529300361770.4809,18.13,1377.35
2024-04-30,8928.5086383,790118169773.4214,18.14,1381.92
2024-05-01,18231.75267088,1511439925091.479,18.14,1386.95
2024-05-02,7668.52109729,631636491670.9182,17.88,1375.39
2024-05-03,9840.54241871,846021084700.8756,17.51,1363.04
2024-05-06,5018.446220039999,452229092753.9702,17.36,1358.81
2024-05-07,3888.3810248600003,346312395357.51794,17.21,1359.45
2024-05-08,4810.118624369999,419682827956.53906,16.46,1359.45
2024-05-09,4206.48778846,363262727866.04755,16.49,1369.74
2024-05-10,4493.2130432,390625431985.0132,16.29,1367.77
2024-05-13,3995.6257212,348406717684.29004,16.6,1367.91
2024-05-14,3618.28164024,314173174707.51715,16.73,1368.77
2024-05-15,6621.47698804,593101812170.977,16.355,1360.15
2024-05-16,4995.98233205,457291717258.70386,15.98,1345.15
2024-05-17,3851.86115573,353231330461.6583,15.98,1354.83
2024-05-20,5048.92931285,475676627679.8235,15.95,1356.0
2024-05-21,6499.41356373,629693830363.2987,15.85,1363.54
2024-05-22,3637.5832315000002,349020114350.10474,15.71,1362.36
2024-05-23,5279.92610162,501978719019.03015,15.22,1362.38
2024-05-24,3463.1123832999997,327134859426.67554,15.43,1369.02
2024-05-28,4217.163793199999,399658930626.5498,15.07,1357.65
2024-05-29,3101.59278464,292262230462.47864,15.66,1365.07
2024-05-30,3449.0166345099997,326146144860.736,16.82,1365.07
2024-05-31,2800.36929915,265886567132.4082,16.9,1385.43
2024-06-03,3494.02812138,336009491250.79926,16.69,1375.91
2024-06-04,3301.81186726,319209667597.8059,16.64,1375.96
