Date,Unique Addresses,Number of Transactions,Hash Rate (TH/s),Total Bitcoins in Circulation,Output Volume (BTC),Search Interest
2024-01-12,596693.0,375872.0,611297254.2857933,19596200.0,1449244.7128505434,61.13001533849552
2024-01-16,569684.0,470122.0,454834266.5816914,19600368.75,921548.5755652138,40.11657256588769
2024-01-17,647470.0,449415.0,440279570.0510773,19600887.5,1212120.662493968,36.29594660723171
2024-01-18,678147.0,484017.0,516691726.83680135,19601406.25,1135734.6767541606,38.206259586559696
2024-01-19,627719.0,460763.0,480304985.51026607,19602443.75,943842.375000512,38.206259586559696
2024-01-22,620801.0,457620.0,559487254.5869052,19605575.0,1101199.699350643,36.29594660723171
2024-01-23,600773.0,368462.0,538506482.5398962,19606618.75,975329.3845440864,40.11657256588769
2024-01-24,564400.0,372499.0,524519301.1752236,19607659.375,1109813.94372324,35.34079011756772
2024-01-25,573766.0,340188.0,632919956.7514365,19608700.0,1011347.0135909268,34.38563362790373
2024-01-26,683719.0,493218.0,531512891.8575599,19610265.625,1068360.6572443764,31.52016415891175
2024-01-29,697324.0,575203.0,545500073.2222326,19611831.25,914777.7265904124,29.609851179583767
2024-01-30,687547.0,523509.0,503538529.1282147,19612868.75,1131865.1352119178,31.52016415891175
2024-01-31,622142.0,444450.0,458080189.69302857,19613918.75,1364459.5450457225,29.609851179583767
2024-02-01,680097.0,413272.0,535009687.19872814,19614956.25,979837.4399123548,27.33303390553732
2024-02-02,691810.0,429732.0,676117474.0216229,19615993.75,855293.3445844336,28.42635526175881
2024-02-05,525379.0,281482.0,585504349.682417,19619112.5,848422.4388140986,27.33303390553732
2024-02-06,521338.0,278093.0,638049611.833403,19620156.25,931934.0951972706,27.33303390553732
2024-02-07,640781.0,427538.0,600517281.7255559,19621200.0,845276.0410852857,27.33303390553732
2024-02-08,547079.0,285101.0,517946155.488292,19622256.25,960367.871170754,32.79964068664478
2024-02-09,615935.0,334084.0,623036679.7902641,19623293.75,1044842.7979372652,40.45289018019523
2024-02-12,649038.0,409911.0,671828708.9304657,19625393.75,972033.8426406132,44.826175605081204
2024-02-13,589286.0,313178.0,506686456.4559378,19626431.25,1073805.9426457302,49.199461029967175
2024-02-14,586548.0,296717.0,521699388.4990767,19627468.75,1231205.9039881432,51.38610374241016
