Date,Hash Rate (TH/s),Unique Addresses
2024-01-12,611297254.3,596693
2024-01-16,454834266.6,569684
2024-01-17,440279570.1,647470
2024-01-18,516691726.8,678147
2024-01-19,480304985.5,627719
2024-01-22,559487254.6,620801
2024-01-23,538506482.5,600773
2024-01-24,524519301.2,564400
2024-01-25,632919956.8,573766
2024-01-26,531512891.9,683719
2024-01-29,545500073.2,697324
2024-01-30,503538529.1,687547
2024-01-31,458080189.7,622142
2024-02-01,535009687.2,680097
2024-02-02,676117474.0,691810
2024-02-05,585504349.7,525379
2024-02-06,638049611.8,521338
2024-02-07,600517281.7,640781
2024-02-08,517946155.5,547079
2024-02-09,623036679.8,615935
2024-02-12,671828708.9,649038
2024-02-13,506686456.5,589286
2024-02-14,521699388.5,586548
2024-02-15,605343974.0,612859
2024-02-16,544386616.4,613011
2024-02-20,572824723.2,638563
2024-02-21,560636963.2,630339
2024-02-22,548449203.1,642155
2024-02-23,645951283.7,679759
2024-02-26,540324029.7,620435
2024-02-27,524073683.0,674490
2024-02-28,605325416.8,763915
2024-02-29,540324029.7,772702
2024-03-01,608054004.4,771270
2024-03-04,508849652.0,664743
2024-03-05,658743348.0,772888
2024-03-06,552239932.4,681667
2024-03-07,710022770.3,714978
2024-03-08,607463925.7,716770
2024-03-11,670577060.8,684136
2024-03-12,556184503.4,677201
2024-03-13,631131351.3,710767
2024-03-14,579720256.0,663447
2024-03-15,529980321.7,749328
2024-03-18,600922569.5,673489
2024-03-19,655172523.7,755218
2024-03-20,621787936.5,639266
2024-03-21,500768807.9,611408
2024-03-22,563364908.9,679058
2024-03-25,550845688.7,623335
2024-03-26,559191835.5,648004
2024-03-27,567537982.3,637151
2024-03-28,630675249.3,696012
2024-03-29,595046225.0,659374
2024-04-01,619839817.7,648777
2024-04-02,611575286.8,685496
2024-04-03,586781694.1,714141
2024-04-04,570252632.3,655509
2024-04-05,611575286.8,643705
2024-04-08,652897941.3,685180
2024-04-09,603310755.9,683771
2024-04-10,626404079.7,703704
2024-04-11,566860609.5,631803
2024-04-12,584038203.8,683741
2024-04-15,605510196.5,666015
2024-04-16,708575761.9,743368
2024-04-17,588332602.3,661886
2024-04-18,622687790.8,670913
2024-04-19,648454182.1,727141
2024-04-22,652748580.7,534717
2024-04-23,721458957.6,441797
2024-04-24,671772263.2,632356
2024-04-25,630674365.8,633650
2024-04-26,578118168.7,664327
2024-04-29,573738485.6,603796
2024-04-30,617535316.5,635509
2024-05-01,578118168.7,587665
2024-05-02,635054048.9,528151
2024-05-03,564979119.4,537019
2024-05-06,534321337.7,466177
2024-05-07,534321337.7,495831
2024-05-08,556219753.2,514675
2024-05-09,613867438.1,513026
2024-05-10,599332437.6,474605
2024-05-13,607599091.9,466123
2024-05-14,562132493.2,458041
2024-05-15,582799129.0,516619
2024-05-16,586932456.1,494221
2024-05-17,640665709.1,514199
2024-05-20,644799036.3,482108
2024-05-21,570399147.5,508542
2024-05-22,632399054.8,491272
2024-05-23,706194547.0,533345
2024-05-24,671140034.8,483309
2024-05-28,562079779.1,448181
2024-05-29,574663654.8,449070
2024-05-30,515938901.7,499634
2024-05-31,620804532.2,528690
2024-06-03,658556159.1,482689
2024-06-04,562079779.1,492874
2024-06-05,515938901.7,460473
2024-06-06,554910858.1,476121
2024-06-07,590944003.0,468301
2024-06-10,578459270.5,473053
2024-06-11,511874030.7,485989
2024-06-12,607590312.9,483313
2024-06-13,603428735.4,469602
2024-06-14,532681918.2,475827
2024-06-17,582620848.0,433551
2024-06-18,632559777.8,484883
2024-06-20,553323137.1,465205
2024-06-21,582332779.0,514658
2024-06-24,632247017.2,456565
2024-06-25,515780461.4,441214
2024-06-26,503301901.9,476277
2024-06-27,540737580.5,501018
2024-06-28,561535179.8,562499
2024-07-01,586492298.9,650451
2024-07-02,615608937.8,511492
2024-07-03,603130378.3,503996
2024-07-05,481691507.2,510689
2024-07-08,628324687.4,534832
2024-07-09,608566049.4,499299
2024-07-10,537434952.8,460604
2024-07-11,553241863.1,487442
2024-07-12,592759139.1,486027
2024-07-15,604614321.8,482490
2024-07-16,580903956.3,492843
2024-07-17,628324687.4,476281
2024-07-18,515102118.2,481360
2024-07-19,599556361.5,510414
2024-07-22,730072032.1,504554
2024-07-23,689285885.0,480641
2024-07-24,571006058.6,484767
2024-07-25,664814196.8,529053
2024-07-26,652578352.7,529294
2024-07-29,725993417.4,543529
2024-07-30,611792205.6,500916
2024-07-31,613215974.0,542141
2024-08-01,630987880.0,550192
2024-08-02,563382035.7,531291
2024-08-05,703100780.5,572484
2024-08-06,630987880.0,502085
2024-08-07,549860866.8,483579
2024-08-08,581410260.8,541524
2024-08-09,585917317.1,505594
2024-08-12,617466711.1,459444
2024-08-13,671551386.5,499256
2024-08-14,594742777.8,514603
2024-08-15,690944705.8,517110
2024-08-16,613213426.4,541657
2024-08-19,561392573.5,479794
2024-08-20,647760661.7,522795
2024-08-21,634805448.5,528523
2024-08-22,690944705.8,529070
2024-08-23,708218323.4,531334
2024-08-26,578666191.1,467689
2024-08-27,613213426.4,500316
2024-08-28,703794017.4,507535
2024-08-29,587091196.6,537264
2024-08-30,631567802.4,572225
2024-09-03,662701426.5,532190
2024-09-04,671596747.6,517981
2024-09-05,689387389.9,539154
2024-09-06,644910784.1,541499
2024-09-09,644910784.1,484357
2024-09-10,609329499.5,496236
2024-09-11,495458846.6,485718
2024-09-12,700222814.6,543579
2024-09-13,566627672.3,541521
2024-09-16,575841130.4,508716
2024-09-17,691009356.5,512792
2024-09-18,635728608.0,503606
2024-09-19,562020943.3,534707
2024-09-20,667975711.3,555435
2024-09-23,672582440.3,518528
2024-09-24,667975711.3,517079
2024-09-25,657005311.3,513256
2024-09-26,571298868.2,515965
2024-09-27,602061114.9,549045
2024-09-30,602061114.9,513555
2024-10-01,689953248.5,626337
2024-10-02,681164035.1,504061
2024-10-03,694347855.2,522348
2024-10-04,742688528.6,553982
2024-10-07,681164035.1,495630
2024-10-08,733899315.3,556194
2024-10-09,574966972.3,479175
2024-10-10,709250575.5,495077
2024-10-11,640613423.0,474119
2024-10-15,713826385.6,510964
2024-10-16,645189233.2,465015
2024-10-17,718402195.8,529901
2024-10-18,622310182.3,519056
2024-10-21,782463538.1,482337
2024-10-22,638125714.3,479204
2024-10-23,718143298.3,496062
2024-10-24,699119634.7,453818
2024-10-25,727655130.0,585659
2024-10-28,798993868.3,535356
2024-10-29,746678793.6,580911
2024-10-30,803749784.2,553379
2024-10-31,751434709.5,562550
2024-11-01,727655130.0,556938
2024-11-04,720519107.3,518020
2024-11-05,702351988.7,548496
2024-11-06,773092476.8,622567
2024-11-07,788251152.8,583392
2024-11-08,717510664.7,591256
2024-11-12,737722232.7,702614
2024-11-13,697299096.7,636591
2024-11-14,641717284.6,587387
2024-11-15,757933800.7,619496
2024-11-18,789177471.5,569926
2024-11-19,889845955.1,547133
2024-11-20,747470602.3,557265
2024-11-21,732216100.2,666198
2024-11-22,727131266.2,628962
2024-11-25,859336950.9,593158
2024-11-26,706791930.1,568082
2024-11-27,676282925.9,599701
2024-11-29,615264917.5,551876
2024-12-02,649582756.2,578842
2024-12-03,811042070.6,613585
2024-12-04,759383340.0,606514
2024-12-05,800710324.5,676971
2024-12-06,702558736.3,589966
2024-12-09,862700801.2,548218
2024-12-10,795544451.4,637676
2024-12-11,733553974.7,617471
2024-12-12,764549213.1,642365
2024-12-13,878198420.4,622796
2024-12-16,796354777.9,628257
2024-12-17,733677850.1,587955
2024-12-18,776835370.7,583495
2024-12-19,782230060.8,634202
2024-12-20,814598201.3,640920
2024-12-23,749861920.4,528563
2024-12-24,712099089.8,543738
2024-12-26,706704399.8,488028
2024-12-27,852361031.8,568492
2024-12-30,867710156.0,546526
2024-12-31,703991258.6,545227
2025-01-02,911368528.6,536381
2025-01-03,774936114.2,580296
2025-01-06,725820444.9,552854
2025-01-07,731277741.5,534903
2025-01-08,682162072.3,545474
2025-01-09,829509079.9,551517
2025-01-10,774936114.2,555569
2025-01-13,702796044.4,527739
2025-01-14,845551490.9,555702
2025-01-15,763192579.4,562243
2025-01-16,702796044.4,552617
2025-01-17,823589114.5,609681
2025-01-21,730249014.9,576234
2025-01-22,823589114.5,563550
2025-01-23,746720797.2,559393
2025-01-24,768683173.5,555324
2025-01-27,841602268.6,536813
2025-01-28,795344639.2,526610
2025-01-29,832962291.1,536882
2025-01-30,779222788.4,563297
2025-01-31,671743783.1,573440
2025-02-03,822214390.5,594369
2025-02-04,703987484.7,533329
2025-02-05,773848838.1,549668
2025-02-06,779222788.4,556046
2025-02-07,929693395.8,547121
2025-02-10,788864727.6,506614
2025-02-11,703735440.5,527971
2025-02-12,754813012.8,524479
2025-02-13,896695158.0,554664
2025-02-14,862643443.1,555378
2025-02-18,794540013.4,505135
2025-02-19,715086012.1,504104
2025-02-20,737787155.3,528372
2025-02-21,732111869.5,539520
2025-02-24,714530229.8,502390
2025-02-25,807968798.4,593036
2025-02-26,862932662.2,551544
2025-02-27,824457957.5,559897
2025-02-28,857436275.8,639073
2025-03-03,824457957.5,574113
2025-03-04,802472412.0,572405
2025-03-05,736515775.4,553079
2025-03-06,934385685.2,582749
2025-03-07,780486866.4,575233
2025-03-10,858547242.2,561710
2025-03-11,769347528.7,555242
2025-03-12,852972260.1,537118
2025-03-13,886422152.6,548028
2025-03-14,791647457.1,558542
2025-03-17,780497492.9,511394
2025-03-18,791647457.1,520296
2025-03-19,847397278.0,523412
2025-03-20,791647457.1,538832
2025-03-21,808372403.4,542213
2025-03-24,870857131.0,542968
2025-03-25,842582548.9,537123
2025-03-26,859547298.2,551045
2025-03-27,836927632.4,546963
2025-03-28,870857131.0,555512
2025-03-31,836927632.4,536233
2025-04-01,763413718.8,577515
2025-04-02,972645626.9,561041
2025-04-03,859547298.2,576015
2025-04-04,1017884958.0,568203
2025-04-07,875826848.0,561612
2025-04-08,924148329.3,560881
2025-04-09,791264255.8,553980
2025-04-10,869786662.9,559681
2025-04-11,893947403.5,574941
2025-04-14,899987588.6,531419
2025-04-15,869786662.9,547445
2025-04-16,893947403.5,543869
2025-04-17,924148329.3,545464
2025-04-18,821465181.6,515292
2025-04-21,771877846.4,493498
2025-04-22,949532271.4,569473
2025-04-23,698365670.6,546333
2025-04-24,863768066.2,569545
2025-04-25,882146110.2,595179
2025-04-28,863768066.2,513795
2025-04-29,894398139.5,526876
2025-04-30,808633934.3,558028
2025-05-01,827011978.3,555979
2025-05-02,974036330.0,613025
2025-05-05,1036227715.0,531867
2025-05-06,817139569.5,526919
2025-05-07,894116485.5,559340
2025-05-08,941486895.3,592201
2025-05-09,828982171.9,603053
2025-05-12,858588678.1,532368
2025-05-13,769769159.7,534997
2025-05-14,852667376.9,535430
2025-05-15,864509979.3,540779
2025-05-16,805296967.0,539053
2025-05-19,852722089.1,499650
2025-05-20,895055809.8,536030
2025-05-21,870865112.3,567751
2025-05-22,907151158.6,612816
2025-05-23,937389530.6,571289
