Date,KOSPI_Volatility,volume_btc,bitcoin_kr
2022-05-02,20.5,2614.56355974,25
2022-05-03,20.25,2755.30931499,23
2022-05-04,19.61,3904.11622031,23
2022-05-06,20.87,4073.14582751,32
2022-05-09,21.39,8307.10609305,51
2022-05-10,22.11,12076.37492996,47
2022-05-11,21.1,31967.29718725,69
2022-05-12,22.72,23389.06342749,100
2022-05-13,19.69,12398.91880053,93
2022-05-16,20.27,5678.83385342,46
2022-05-17,19.06,5356.75318186,42
2022-05-18,18.4,6367.45223,40
2022-05-19,20.42,6407.34186752,38
2022-05-20,19.1,5865.61037606,33
2022-05-23,19.44,4947.2210493,31
2022-05-24,20.61,3823.78536764,32
2022-05-25,19.89,3871.09133713,30
2022-05-26,19.91,5202.30433331,33
2022-05-27,18.8,4373.88537069,32
2022-05-30,17.74,5467.46003665,29
2022-05-31,17.26,6442.97998078,29
2022-06-02,17.6,2899.34567262,26
2022-06-03,16.87,3606.94746991,24
2022-06-07,18.1,7886.33246816,25
2022-06-08,17.1,5152.82944355,23
2022-06-09,17.0,2945.15078326,23
2022-06-10,18.29,4429.21478893,24
2022-06-13,23.3,21092.06419942,76
2022-06-14,23.74,19487.81540886,66
2022-06-15,24.27,20040.69089176,60
2022-06-16,23.72,10897.12712035,45
2022-06-17,25.79,8254.74720985,48
2022-06-20,26.37,12451.16444339,53
2022-06-21,23.4,10207.59720614,41
2022-06-22,25.64,7880.69810885,37
2022-06-23,25.92,11674.89801533,35
2022-06-24,23.94,13388.89574771,33
2022-06-27,22.5,5752.80718136,32
2022-06-28,21.21,5406.3616699,30
2022-06-29,22.46,9223.20252083,32
2022-06-30,23.9,11478.34480571,40
2022-07-01,23.98,10667.06530912,32
2022-07-04,24.07,6263.45644496,35
2022-07-05,22.73,8426.86858306,29
2022-07-06,24.67,5929.70297686,29
2022-07-07,23.6,8756.63987596,28
2022-07-08,23.0,10799.53960874,28
2022-07-11,23.33,5812.7656968,28
2022-07-12,23.33,5167.36529415,28
2022-07-13,23.3,8364.96759425,29
2022-07-14,23.32,6982.83175399,25
2022-07-15,22.08,6257.93313595,25
2022-07-18,20.53,13859.74527805,30
2022-07-19,20.74,14595.94785594,29
2022-07-20,20.31,12434.44375652,32
2022-07-21,20.02,10664.60764073,31
2022-07-22,19.71,7607.90890932,24
2022-07-25,19.97,8196.41047121,27
2022-07-26,19.38,6394.87499911,24
2022-07-27,19.39,8326.59445286,23
2022-07-28,18.36,10600.62751364,25
2022-07-29,17.79,9751.91139782,26
2022-08-01,18.22,6632.83303678,68
2022-08-02,19.24,7603.47582952,71
2022-08-03,18.45,6104.35808879,67
2022-08-04,17.7,5092.11116051,66
2022-08-05,17.0,5525.87043361,62
2022-08-08,17.15,5716.18441331,65
2022-08-09,16.5,5607.51268342,66
2022-08-10,17.18,8806.55797536,61
2022-08-11,15.74,9244.45685127,65
2022-08-12,15.45,8387.04392221,61
2022-08-16,15.42,4179.74642172,60
2022-08-17,15.51,5812.24927668,60
2022-08-18,15.77,2950.43773428,53
2022-08-19,15.73,11796.61947017,100
2022-08-22,16.76,4297.80375186,73
2022-08-23,17.72,3763.61382345,67
2022-08-24,17.48,3125.56012147,64
2022-08-25,16.19,3452.12199237,59
2022-08-26,16.19,7729.24670505,66
2022-08-29,18.72,3709.53491351,75
2022-08-30,17.47,4229.54737089,66
2022-08-31,17.31,3677.29907389,58
2022-09-01,19.2,3585.51130768,55
2022-09-02,19.07,3667.65760467,52
2022-09-05,18.87,3528.46820144,46
2022-09-06,18.49,8145.67658457,65
2022-09-07,19.85,5757.55932075,70
2022-09-08,19.17,4259.43244539,60
2022-09-13,16.68,15229.11580906,80
2022-09-14,18.73,8716.78268528,71
2022-09-15,18.39,6939.77703727,69
