Date,KOSPI_Volatility,volume_btc,bitcoin_kr
2022-05-02,20.5,5918.5983894,25.0
2022-05-03,20.25,5970.22854529,23.0
2022-05-04,19.61,7220.870717129999,23.0
2022-05-06,20.87,8965.753104809999,32.0
2022-05-09,21.39,12254.912203330001,51.0
2022-05-10,22.11,19590.52931393,47.0
2022-05-11,21.1,39942.77900709,69.0
2022-05-12,22.72,30591.03679699,100.0
2022-05-13,19.69,18595.34695033,93.0
2022-05-16,20.27,8660.01511387,46.0
2022-05-17,19.06,9246.05936922,42.0
2022-05-18,18.4,10435.97259148,40.0
2022-05-19,20.42,10841.4111524,38.0
2022-05-20,19.1,10212.50095714,33.0
2022-05-23,19.44,8977.281521730001,31.0
2022-05-24,20.61,7502.7640337600005,32.0
2022-05-25,19.89,7409.38919775,30.0
2022-05-26,19.91,9943.185937630002,33.0
2022-05-27,18.8,10184.88680027,32.0
2022-05-30,17.74,9825.31233741,29.0
2022-05-31,17.26,10393.68965072,29.0
2022-06-02,17.6,6945.33438441,26.0
2022-06-03,16.87,6281.03739984,24.0
2022-06-07,18.1,10946.43457659,25.0
2022-06-08,17.1,9022.9636602,23.0
2022-06-09,17.0,4717.358429,23.0
2022-06-10,18.29,6405.43115895,24.0
2022-06-13,23.3,29225.5325198,76.0
2022-06-14,23.74,29902.9213114,66.0
2022-06-15,24.27,28459.372697900002,60.0
2022-06-16,23.72,18849.187702,45.0
2022-06-17,25.79,13850.705667670001,48.0
2022-06-20,26.37,19562.16415172,53.0
2022-06-21,23.4,15899.21326473,41.0
2022-06-22,25.64,12717.17748115,37.0
2022-06-23,25.92,16483.394904419998,35.0
2022-06-24,23.94,17781.04758387,33.0
2022-06-27,22.5,9003.01199527,32.0
2022-06-28,21.21,7769.832062490001,30.0
2022-06-29,22.46,12826.4823587,32.0
2022-06-30,23.9,15485.95451306,40.0
2022-07-01,23.98,16057.03705548,32.0
2022-07-04,24.07,8386.54361652,35.0
2022-07-05,22.73,11895.963125310001,29.0
2022-07-06,24.67,10915.25486245,29.0
2022-07-07,23.6,13224.328172689999,28.0
2022-07-08,23.0,18376.68377419,28.0
2022-07-11,23.33,10352.33956702,28.0
2022-07-12,23.33,10383.081376,28.0
2022-07-13,23.3,14129.26948298,29.0
