Date,Hash Rate (TH/s),Unique Addresses
2022-05-02,236974085.5551653,687096.0
2022-05-03,222163205.20796743,692327.0
2022-05-04,216238853.06908828,615048.0
2022-05-06,210314500.9302092,723743.0
2022-05-09,229568645.3815663,705421.0
2022-05-10,226823707.2333046,714602.0
2022-05-11,225257597.8912952,694927.0
2022-05-12,209722591.14017135,730516.0
2022-05-13,236132102.61708185,727914.0
2022-05-16,254774110.7184304,663779.0
2022-05-17,228364599.24151996,683798.0
2022-05-18,208169090.46505892,646333.0
2022-05-19,189527082.3637104,662000.0
2022-05-20,198848086.4143847,668605.0
2022-05-23,248560108.0179809,638912.0
2022-05-24,186420081.01348567,600094.0
2022-05-25,219801139.27751225,700322.0
2022-05-26,209555369.85718092,653373.0
2022-05-27,205096744.96660265,688580.0
2022-05-30,228876077.71635368,644720.0
2022-05-31,216986411.34147817,685567.0
2022-06-02,185776037.10742992,664442.0
2022-06-03,212527786.45089987,678027.0
2022-06-07,240765744.0912292,648390.0
2022-06-08,266405768.7361438,656376.0
2022-06-09,219787040.37955952,661923.0
2022-06-10,221292431.06709072,669839.0
2022-06-13,200216961.44165352,708381.0
2022-06-14,219787040.37955952,717234.0
2022-06-15,248389463.44265285,732637.0
2022-06-16,179141491.81621632,662185.0
2022-06-17,162582194.2533728,663831.0
2022-06-20,198711570.75412232,605998.0
2022-06-21,225808603.1296844,647716.0
2022-06-22,193273708.26929796,639691.0
2022-06-23,223431040.49786,633984.0
2022-06-24,189622396.2119996,650157.0
2022-06-27,199911983.60334843,621986.0
2022-06-28,214611394.16241816,624229.0
2022-06-29,221961099.44195303,654949.0
2022-06-30,251359920.5600925,699397.0
2022-07-01,196972101.49153444,714094.0
2022-07-04,210201570.99469727,610225.0
2022-07-05,173453044.59702292,616343.0
2022-07-06,186682514.1001857,687966.0
2022-07-07,227544125.37384427,691644.0
2022-07-08,214480636.4041969,682201.0
2022-07-11,178250799.1737582,590261.0
2022-07-12,218828216.87184957,657668.0
2022-07-13,159411283.8139301,597185.0
2022-07-14,179699992.6629758,685931.0
2022-07-15,205785475.4688916,661194.0
2022-07-18,189844347.0874986,611990.0
2022-07-19,199988701.51202145,682638.0
2022-07-20,182598379.6414109,642244.0
2022-07-21,199187652.45519632,686329.0
2022-07-22,181711862.6387281,650694.0
2022-07-25,195477912.8386317,629329.0
2022-07-26,220256803.19845837,655695.0
2022-07-27,227139828.2984101,644191.0
2022-07-28,194101307.8186414,697022.0
2022-07-29,200984332.91859323,708268.0
2022-08-01,187218282.7186896,635502.0
2022-08-02,213373778.09850645,663588.0
2022-08-03,199607727.89860287,693063.0
2022-08-04,183173748.8020644,695558.0
2022-08-05,210085555.0395456,687443.0
2022-08-08,201682132.83796376,652517.0
2022-08-09,200281562.47103348,646055.0
2022-08-10,207284414.30568492,663480.0
2022-08-11,196079851.3702425,725127.0
2022-08-12,215687836.5072668,703328.0
2022-08-16,207284414.30568492,677726.0
2022-08-17,180673577.3340092,648642.0
2022-08-18,202403376.0331685,685923.0
2022-08-19,250867150.7861116,736405.0
2022-08-22,204358072.2695853,629040.0
2022-08-23,242410954.69219768,641154.0
2022-08-24,205767438.2852376,649399.0
2022-08-25,224089196.48871768,656808.0
2022-08-26,248048418.754807,686060.0
2022-08-29,221270464.45741308,641513.0
2022-08-30,228317294.5356746,660170.0
2022-08-31,219862688.89188156,652024.0
2022-09-01,212503108.15739748,685449.0
2022-09-02,198644209.79930627,710783.0
2022-09-05,235601272.08754936,628765.0
2022-09-06,218662618.53877124,657784.0
2022-09-07,224822128.92014512,676262.0
2022-09-08,195564454.60861945,685564.0
2022-09-13,211972242.0735515,663498.0
2022-09-14,202308899.97494468,687667.0
2022-09-15,234168569.26233757,700513.0
2022-09-16,203901883.4393143,706574.0
2022-09-19,207087850.3680536,631537.0
2022-09-20,242133486.58418572,650202.0
2022-09-21,224610668.47611964,632611.0
2022-09-22,203901883.4393143,614742.0
2022-09-23,215052767.68990183,689899.0
2022-09-26,238947519.65544644,614435.0
2022-09-27,205494866.90368396,648681.0
2022-09-28,234283743.87934905,620268.0
2022-09-29,222928606.67506388,652313.0
2022-09-30,263461080.61598453,717755.0
2022-10-04,254107432.7834644,655477.0
2022-10-05,272814728.44850475,644568.0
2022-10-06,247871667.56178424,677796.0
2022-10-07,266578963.2268246,675013.0
2022-10-11,277924882.20287925,635320.0
