Date,nav_true,etf_true
2024-01-12,24.94,24.97
2024-01-16,24.62,24.72
2024-01-17,24.31,24.41
2024-01-18,23.32,23.34
2024-01-19,23.87,23.8
2024-01-22,22.86,22.95
2024-01-23,22.36,22.32
2024-01-24,22.66,22.6
2024-01-25,22.69,22.76
2024-01-26,23.94,23.99
2024-01-29,24.55,24.67
2024-01-30,24.85,24.88
2024-01-31,24.41,24.3
2024-02-01,24.53,24.54
2024-02-02,24.5,24.5
2024-02-05,24.18,24.19
2024-02-06,24.58,24.6
2024-02-07,25.09,25.22
2024-02-08,25.9,26.03
2024-02-09,27.13,27.15
2024-02-12,28.48,28.66
2024-02-13,28.08,28.22
2024-02-14,29.51,29.55
2024-02-15,29.54,29.52
2024-02-16,29.53,29.62
2024-02-20,29.68,29.67
2024-02-21,29.07,29.08
2024-02-22,29.5,29.72
2024-02-23,29.09,29.16
2024-02-26,31.07,31.12
2024-02-27,32.51,32.59
2024-02-28,34.39,34.45
2024-02-29,35.36,35.42
2024-03-01,35.65,35.99
2024-03-04,38.47,38.65
2024-03-05,35.57,35.32
2024-03-06,38.27,38.29
2024-03-07,38.64,38.63
2024-03-08,39.47,39.55
2024-03-11,41.27,41.12
2024-03-12,40.74,40.73
2024-03-13,41.66,41.95
2024-03-14,39.61,39.51
2024-03-15,39.72,39.39
2024-03-18,38.26,38.14
2024-03-19,36.88,36.7
2024-03-20,37.34,37.55
2024-03-21,37.17,37.15
2024-03-22,36.33,36.41
2024-03-25,40.32,40.55
2024-03-26,39.75,39.63
2024-03-27,39.1,39.13
2024-03-28,40.3,40.47
2024-03-29,40.3,40.47
2024-04-01,39.49,39.75
2024-04-02,37.62,37.6
2024-04-03,37.53,37.54
2024-04-04,39.14,39.08
2024-04-05,38.6,38.41
2024-04-08,40.9,40.95
2024-04-09,39.23,39.33
2024-04-10,39.61,40.0
2024-04-11,40.02,40.17
2024-04-12,38.06,38.14
2024-04-15,35.98,36.08
2024-04-16,35.81,35.75
2024-04-17,34.79,34.76
2024-04-18,36.08,36.21
2024-04-19,36.59,36.67
2024-04-22,37.8,37.93
2024-04-23,37.92,37.9
2024-04-24,36.57,36.41
2024-04-25,36.81,36.86
2024-04-26,36.39,36.32
2024-04-29,35.71,35.87
2024-04-30,34.14,33.57
2024-05-01,32.97,32.39
2024-05-02,33.7,33.8
2024-05-03,35.18,35.4
2024-05-06,35.91,36.01
2024-05-07,35.95,35.93
2024-05-08,35.46,35.38
2024-05-09,35.49,35.58
2024-05-10,34.55,34.58
2024-05-13,35.87,36.0
2024-05-14,35.02,35.07
2024-05-15,37.54,37.67
2024-05-16,37.18,37.15
2024-05-17,38.08,38.28
2024-05-20,39.49,39.97
2024-05-21,39.62,39.47
2024-05-22,39.63,39.71
2024-05-23,38.34,38.27
2024-05-24,39.25,39.46
2024-05-28,38.83,38.98
2024-05-29,38.38,38.32
2024-05-30,39.26,39.16
2024-05-31,38.43,38.55
2024-06-03,39.35,39.44
2024-06-04,40.12,40.17
2024-06-05,40.48,40.67
2024-06-06,40.32,40.16
2024-06-07,39.33,39.42
2024-06-10,39.65,39.59
2024-06-11,38.3,38.43
2024-06-12,38.95,38.45
2024-06-13,37.97,37.9
2024-06-14,37.25,37.3
2024-06-17,38.01,37.98
2024-06-18,36.66,36.64
2024-06-20,36.98,37.04
2024-06-21,36.46,36.58
2024-06-24,34.13,33.76
2024-06-25,35.27,35.3
2024-06-26,34.62,34.71
2024-06-27,35.0,34.98
2024-06-28,34.34,34.14
2024-07-01,36.04,36.0
2024-07-02,35.29,35.22
2024-07-03,34.1,34.44
2024-07-05,32.18,32.2
2024-07-08,32.06,32.16
2024-07-09,32.89,32.96
2024-07-10,32.71,32.67
2024-07-11,32.77,32.7
2024-07-12,32.98,32.85
2024-07-15,36.19,36.15
2024-07-16,36.96,37.17
2024-07-17,36.79,36.84
2024-07-18,36.15,36.22
2024-07-19,38.22,38.4
2024-07-22,38.61,38.93
2024-07-23,37.47,37.34
2024-07-24,37.5,37.42
2024-07-25,36.85,36.83
2024-07-26,38.6,38.79
2024-07-29,38.36,38.34
2024-07-30,37.43,37.55
2024-07-31,37.48,37.18
2024-08-01,35.98,36.07
2024-08-02,35.68,35.61
2024-08-05,30.24,30.48
2024-08-06,32.26,32.34
2024-08-07,31.26,31.19
2024-08-08,33.97,33.88
2024-08-09,34.45,34.6
2024-08-12,33.61,33.64
2024-08-13,34.55,34.64
2024-08-14,33.54,33.56
2024-08-15,32.56,32.5
2024-08-16,33.98,34.03
2024-08-19,33.58,33.62
2024-08-20,33.8,33.92
2024-08-21,34.8,35.13
2024-08-22,34.31,34.35
2024-08-23,36.18,36.28
2024-08-26,36.14,36.09
2024-08-27,35.32,35.38
2024-08-28,33.76,33.52
2024-08-29,33.78,33.69
2024-08-30,33.54,33.37
2024-09-03,33.0,32.98
2024-09-04,32.93,33.04
2024-09-05,31.97,31.85
2024-09-06,30.48,30.41
2024-09-09,32.34,32.51
2024-09-10,32.83,33.0
2024-09-11,32.74,32.8
2024-09-12,33.17,33.25
2024-09-13,34.07,34.04
2024-09-16,32.96,32.98
2024-09-17,34.32,34.1
2024-09-18,34.35,34.15
2024-09-19,36.08,36.01
2024-09-20,35.8,35.8
2024-09-23,36.07,36.04
2024-09-24,36.36,36.64
2024-09-25,36.01,35.97
2024-09-26,37.05,36.84
2024-09-27,37.44,37.39
2024-09-30,36.08,36.13
2024-10-01,35.2,35.13
2024-10-02,34.34,34.24
2024-10-03,34.58,34.72
2024-10-04,35.47,35.52
2024-10-07,35.99,36.06
2024-10-08,35.33,35.4
2024-10-09,34.71,34.68
2024-10-10,33.84,33.95
2024-10-11,35.87,35.94
2024-10-15,38.0,38.17
2024-10-16,38.57,38.58
2024-10-17,38.05,38.05
2024-10-18,39.12,39.07
2024-10-21,38.44,38.57
2024-10-22,38.38,38.41
2024-10-23,37.62,37.81
2024-10-24,38.68,38.87
2024-10-25,38.02,38.01
2024-10-28,39.6,39.67
2024-10-29,41.53,41.33
2024-10-30,40.9,40.88
2024-10-31,40.05,39.78
2024-11-01,39.28,39.37
2024-11-04,38.42,38.25
2024-11-05,39.49,39.51
2024-11-06,43.19,43.4
2024-11-07,43.61,43.6
2024-11-08,43.67,43.69
2024-11-12,50.93,51.05
2024-11-13,51.52,51.04
2024-11-14,50.21,49.73
2024-11-15,51.77,52.13
2024-11-18,51.93,52.13
2024-11-19,52.97,52.7
2024-11-20,53.64,53.72
2024-11-21,55.92,55.9
2024-11-22,56.52,56.49
2024-11-25,53.99,54.02
2024-11-26,51.94,51.7
2024-11-27,55.14,55.03
2024-11-29,55.44,55.21
2024-12-02,54.57,54.48
2024-12-03,54.33,54.46
2024-12-04,56.05,56.42
2024-12-05,56.16,56.4
2024-12-06,57.89,57.8
2024-12-09,55.04,54.73
2024-12-10,54.75,54.9
2024-12-11,57.71,57.72
2024-12-12,56.79,56.92
2024-12-13,57.8,57.91
2024-12-16,60.43,60.22
2024-12-17,60.57,60.73
2024-12-18,57.63,57.18
2024-12-19,54.87,54.72
2024-12-20,55.08,54.81
2024-12-23,52.76,52.87
2024-12-24,55.5,56.23
2024-12-26,54.33,54.3
2024-12-27,53.67,53.68
2024-12-30,53.71,53.55
2024-12-31,53.3,53.05
2025-01-02,55.44,55.37
2025-01-03,56.0,55.96
2025-01-06,58.08,58.17
2025-01-07,54.79,54.79
2025-01-08,53.47,53.34
2025-01-09,53.47,53.34
2025-01-10,53.99,53.84
2025-01-13,52.62,53.22
2025-01-14,54.87,54.83
2025-01-15,56.89,56.64
2025-01-16,57.13,57.09
2025-01-17,59.86,59.62
2025-01-21,60.61,60.42
2025-01-22,59.36,59.38
2025-01-23,59.48,58.79
2025-01-24,59.88,59.7
2025-01-27,57.09,57.67
2025-01-28,57.96,57.58
2025-01-29,59.11,59.34
2025-01-30,59.98,59.72
2025-01-31,57.93,57.71
2025-02-03,57.82,57.58
2025-02-04,56.09,56.13
2025-02-05,55.44,55.33
2025-02-06,54.86,55.12
2025-02-07,54.68,54.47
2025-02-10,55.36,55.38
2025-02-11,54.09,54.11
2025-02-12,55.27,55.16
2025-02-13,54.61,54.74
2025-02-14,55.64,55.33
2025-02-18,53.47,53.51
2025-02-19,54.75,54.65
2025-02-20,56.02,56.04
2025-02-21,54.1,53.92
2025-02-24,53.58,53.41
2025-02-25,50.11,50.03
2025-02-26,47.51,47.96
2025-02-27,47.25,47.35
2025-02-28,47.77,47.9
2025-03-03,48.73,48.9
2025-03-04,50.04,49.39
2025-03-05,51.22,51.44
2025-03-06,50.58,50.64
2025-03-07,49.81,49.43
2025-03-10,44.62,44.91
2025-03-11,47.27,47.24
2025-03-12,47.05,47.15
2025-03-13,45.75,45.52
2025-03-14,48.12,48.14
2025-03-17,48.03,48.06
2025-03-18,46.61,46.81
2025-03-19,48.54,48.61
2025-03-20,47.82,47.85
2025-03-21,47.72,47.7
2025-03-24,50.19,50.18
2025-03-25,50.04,50.14
2025-03-26,49.04,49.18
2025-03-27,49.59,49.44
2025-03-28,47.56,47.56
2025-03-31,47.16,46.81
2025-04-01,48.32,48.3
2025-04-02,49.1,49.41
2025-04-03,46.61,46.57
2025-04-04,47.79,47.71
2025-04-07,44.54,44.27
2025-04-08,43.6,43.59
2025-04-09,46.73,46.83
2025-04-10,45.19,45.17
2025-04-11,47.61,47.67
2025-04-14,48.31,48.28
2025-04-15,47.77,47.74
2025-04-16,47.78,47.96
2025-04-17,48.19,48.26
2025-04-18,48.19,48.26
2025-04-21,49.55,49.72
2025-04-22,52.01,52.08
2025-04-23,53.07,53.2
2025-04-24,53.14,53.26
2025-04-25,54.09,54.27
2025-04-28,53.82,53.88
2025-04-29,54.18,54.22
2025-04-30,53.4,53.51
