date,value
2024-01-12,44
2024-01-13,32
2024-01-14,24
2024-01-15,24
2024-01-16,21
2024-01-17,22
2024-01-18,20
2024-01-19,20
2024-01-20,16
2024-01-21,15
2024-01-22,22
2024-01-23,26
2024-01-24,19
2024-01-25,18
2024-01-26,16
2024-01-27,13
2024-01-28,13
2024-01-29,13
2024-01-30,14
2024-01-31,14
2024-02-01,12
2024-02-02,12
2024-02-03,10
2024-02-04,12
2024-02-05,12
2024-02-06,13
2024-02-07,13
2024-02-08,15
2024-02-09,18
2024-02-10,15
2024-02-11,17
2024-02-12,21
2024-02-13,24
2024-02-14,28
2024-02-15,30
2024-02-16,23
2024-02-17,19
2024-02-18,20
2024-02-19,21
2024-02-20,22
2024-02-21,19
2024-02-22,19
2024-02-23,19
2024-02-24,17
2024-02-25,16
2024-02-26,22
2024-02-27,40
2024-02-28,66
2024-02-29,72
2024-03-01,36
2024-03-02,34
2024-03-03,40
2024-03-04,60
2024-03-05,97
2024-03-06,66
2024-03-07,46
2024-03-08,44
2024-03-09,38
2024-03-10,43
2024-03-11,100
2024-03-12,79
2024-03-13,58
2024-03-14,57
2024-03-15,63
2024-03-16,49
2024-03-17,48
2024-03-18,42
2024-03-19,53
2024-03-20,49
2024-03-21,40
2024-03-22,37
2024-03-23,32
2024-03-24,39
2024-03-25,55
2024-03-26,37
2024-03-27,33
2024-03-28,32
2024-03-29,32
2024-03-30,22
2024-03-31,28
2024-04-01,69
2024-04-02,84
2024-04-03,64
2024-04-04,57
2024-04-05,58
2024-04-06,42
2024-04-07,45
2024-04-08,62
2024-04-09,56
2024-04-10,49
2024-04-11,59
2024-04-12,71
2024-04-13,74
2024-04-14,100
2024-04-15,96
2024-04-16,68
2024-04-17,67
2024-04-18,70
2024-04-19,96
2024-04-20,96
2024-04-21,75
2024-04-22,55
2024-04-23,46
2024-04-24,48
2024-04-25,60
2024-04-26,41
2024-04-27,38
2024-04-28,36
2024-04-29,58
2024-04-30,55
2024-05-01,82
2024-05-02,57
2024-05-03,50
2024-05-04,45
2024-05-05,39
2024-05-06,42
2024-05-07,42
2024-05-08,39
2024-05-09,58
2024-05-10,62
2024-05-11,33
2024-05-12,35
2024-05-13,43
2024-05-14,35
2024-05-15,37
2024-05-16,39
2024-05-17,35
2024-05-18,33
2024-05-19,38
2024-05-20,41
2024-05-21,70
2024-05-22,50
2024-05-23,49
2024-05-24,44
2024-05-25,31
2024-05-26,33
2024-05-27,38
2024-05-28,40
2024-05-29,37
2024-05-30,36
2024-05-31,31
2024-06-01,25
2024-06-02,27
2024-06-03,39
2024-06-04,31
2024-06-05,36
2024-06-06,33
2024-06-07,39
2024-06-08,33
2024-06-09,29
2024-06-10,35
2024-06-11,43
2024-06-12,40
2024-06-13,35
2024-06-14,37
2024-06-15,33
2024-06-16,36
2024-06-17,58
2024-06-18,74
2024-06-19,38
2024-06-20,38
2024-06-21,34
2024-06-22,30
2024-06-23,28
2024-06-24,53
2024-06-25,40
2024-06-26,34
2024-06-27,40
2024-06-28,38
2024-06-29,30
2024-06-30,35
2024-07-01,22
2024-07-02,21
2024-07-03,26
2024-07-04,39
2024-07-05,58
2024-07-06,27
2024-07-07,26
2024-07-08,36
2024-07-09,30
2024-07-10,30
2024-07-11,30
2024-07-12,21
2024-07-13,20
2024-07-14,29
